20849	perp		20851	para
20850	perp		20852	para
20854	perp		20858	para
20862	perp		20859	para
20863	perp		20860	para
20864	perp		20861	para
20865	perp		20866	para
20870	perp		20867	para
20871	perp		20868	para
20872	perp		20869	para
20873	perp		20874	para
20883	perp		20875	para
20884	perp		20879	para
20890	perp		20880	para
20893	perp		20896	para
20894	perp		20899	para
20895	perp		20900	para
20897	perp		20901	para
20898	perp		20902	para
20905	perp		20903	para
20906	perp		20904	para
20907	perp		20914	para
20908	perp		20915	para
20919	perp		20916	para
20920	perp		20917	para
20921	perp		20918	para
20922	perp		20923	para
20927	perp		20924	para
20928	perp		20925	para
20929	perp		20926	para
20930	perp		20931	para
20935	perp		20932	para
20936	perp		20933	para
20937	perp		20934	para
20938	perp		20939	para
20943	perp		20940	para
20944	perp		20941	para
20945	perp		20942	para
20946	perp		20947	para
20956	perp		20948	para
20957	perp		20954	para
20958	perp		20955	para
20959	perp		20960	para
20989	perp		20961	para
20990	perp		20962	para
20991	perp		20986	para
20992	perp		20987	para
20997	perp		20988	para
20998	perp		20993	para
20999	perp		20994	para
21000	perp		20995	para
21008	perp		20996	para
21009	perp		21001	para
21011	perp		21002	para
21012	perp		21003	para
21017	perp		21006	para
21018	perp		21007	para
21019	perp		21013	para
21020	perp		21014	para
21021	perp		21015	para
21022	perp		21016	para
21023	perp		21040	para
21024	perp		21041	para
21025	perp		21042	para
21026	perp		21043	para
21027	perp		21051	para
21028	perp		21052	para
21031	perp			
21032	perp			
21033	perp			
21034	perp			
21035	perp			
21036	perp			
21037	perp			
21046	perp			
21047	perp			
21048	perp			
