0.000	1.0
0.005	0.95
0.010	0.90
0.015	0.85
0.020	0.80
0.025	0.75
0.030	0.70
0.035	0.65
0.040	0.60
0.045	0.55
0.050	0.50
0.055	0.50
0.060	0.50
0.065	0.50
0.070	0.50
0.075	0.50
0.080	0.50
0.085	0.50
0.090	0.50
0.095	0.50
0.100	0.50
0.105	0.50
0.110	0.50
0.115	0.50
0.120	0.50
0.125	0.50
0.130	0.50
0.135	0.50
0.140	0.50
0.145	0.50
0.150	0.50
0.155	0.50
0.160	0.50
0.165	0.50
0.170	0.50
0.175	0.50
0.180	0.50
0.185	0.50
0.190	0.50
0.195	0.50
0.200	0.50
0.205	0.50
0.210	0.50
0.215	0.50
0.220	0.50
0.225	0.50
0.230	0.50
0.235	0.50
0.240	0.50
0.245	0.50
0.250	0.50
0.255	0.50
0.260	0.50
0.265	0.50
0.270	0.45
0.275	0.40
0.280	0.30
0.285	0.20
0.290	0.10
0.295	0.05
0.300	0.00
