0	16	24
1	18	22
2	22	26
3	18	21
4	21	24
5	24	27
6	19	21
7	21	23
8	23	25
9	25	27
10	19	21
11	20	22
12	22	24
13	24	26
14	26	28
15	19	20
16	21	22
17	22	23
18	24	25
19	25	26
20	26	27
21	19	20
22	21	22
23	22	23
24	23	24
25	24	25
26	25	26
27	26	27
28	19	20
29	20	21
30	21	22
31	22	23
32	24	25
33	25	26
34	26	27
35	27	28
36	19	20
37	20	21
38	21	22
39	22	23
40	23	24
41	24	25
42	25	26
43	26	27
44	27	28
45	19	20
46	20	21
47	21	22
48	22	23
49	23	24
50	24	25
51	24	25
52	25	26
53	26	27
54	27	28
55	20	21
56	21	22
57	22	23
58	22	23
59	23	24
60	24	25
61	25	26
62	25	26
63	26	27
64	24	32
65	26	30
66	30	34
67	27	30
68	29	32
69	32	35
70	27	29
71	29	31
72	31	33
73	33	35
74	27	29
75	28	30
76	30	32
77	32	34
78	34	36
79	28	29
80	29	30
81	30	31
82	32	33
83	33	34
84	34	35
85	28	29
86	29	30
87	30	31
88	31	32
89	32	33
90	33	34
91	34	35
92	28	29
93	28	29
94	29	30
95	30	31
96	32	33
97	33	34
98	34	35
99	35	36
100	28	29
101	28	29
102	29	30
103	30	31
104	31	32
105	32	33
106	33	34
107	34	35
108	35	36
109	28	29
110	28	29
111	29	30
112	30	31
113	31	32
114	32	33
115	32	33
116	33	34
117	34	35
118	35	36
119	28	29
120	29	30
121	30	31
122	30	31
123	31	32
124	32	33
125	33	34
126	33	34
127	34	35
128	32	40
129	34	38
130	38	42
131	35	38
132	37	40
133	40	43
134	35	37
135	37	39
136	39	41
137	41	43
138	35	37
139	36	38
140	38	40
141	40	42
142	42	44
143	36	37
144	37	38
145	38	39
146	39	40
147	41	42
148	42	43
149	36	37
150	37	38
151	38	39
152	39	40
153	40	41
154	41	42
155	42	43
156	36	37
157	36	37
158	37	38
159	38	39
160	39	40
161	41	42
162	42	43
163	43	44
164	36	37
165	36	37
166	37	38
167	38	39
168	39	40
169	40	41
170	41	42
171	42	43
172	43	44
173	36	37
174	36	37
175	37	38
176	38	39
177	39	40
178	39	40
179	40	41
180	41	42
181	42	43
182	43	44
183	37	38
184	38	39
185	38	39
186	39	40
187	40	41
188	41	42
189	41	42
190	42	43
191	43	44
192	40	0
193	42	46
194	46	2
195	42	45
196	45	0
197	-0	3
198	43	45
199	45	47
200	47	1
201	1	3
202	43	45
203	44	46
204	46	0
205	-0	2
206	2	4
207	43	44
208	45	46
209	46	47
210	47	1
211	1	2
212	2	3
213	43	44
214	45	46
215	46	47
216	47	0
217	0	1
218	1	2
219	2	3
220	43	44
221	44	45
222	45	46
223	46	47
224	47	1
225	1	2
226	2	3
227	3	4
228	43	44
229	44	45
230	45	46
231	46	47
232	47	0
233	-0	1
234	1	2
235	2	3
236	3	4
237	43	44
238	44	45
239	45	46
240	46	47
241	47	0
242	47	1
243	0	1
244	1	2
245	2	3
246	3	4
247	44	45
248	45	46
249	46	47
250	46	47
251	47	0
252	-0	1
253	1	2
254	1	2
255	2	3
256	0	8
257	2	6
258	6	10
259	3	6
260	5	8
261	8	11
262	3	5
263	5	7
264	7	9
265	9	11
266	3	5
267	4	6
268	6	8
269	8	10
270	10	12
271	4	5
272	5	6
273	6	7
274	8	9
275	9	10
276	10	11
277	4	5
278	5	6
279	6	7
280	7	8
281	8	9
282	9	10
283	10	11
284	4	5
285	4	5
286	5	6
287	6	7
288	8	9
289	9	10
290	10	11
291	11	12
292	4	5
293	4	5
294	5	6
295	6	7
296	7	8
297	8	9
298	9	10
299	10	11
300	11	12
301	4	5
302	4	5
303	5	6
304	6	7
305	7	8
306	8	9
307	8	9
308	9	10
309	10	11
310	11	12
311	4	5
312	5	6
313	6	7
314	6	7
315	7	8
316	8	9
317	9	10
318	9	10
319	10	11
320	8	16
321	10	14
322	14	18
323	11	14
324	13	16
325	16	19
326	11	13
327	13	15
328	15	17
329	17	19
330	11	13
331	12	14
332	14	16
333	16	18
334	18	20
335	12	13
336	13	14
337	14	15
338	15	16
339	17	18
340	18	19
341	12	13
342	13	14
343	14	15
344	15	16
345	16	17
346	17	18
347	18	19
348	12	13
349	12	13
350	13	14
351	14	15
352	15	16
353	17	18
354	18	19
355	19	20
356	12	13
357	12	13
358	13	14
359	14	15
360	15	16
361	16	17
362	17	18
363	18	19
364	19	20
365	12	13
366	12	13
367	13	14
368	14	15
369	15	16
370	15	16
371	16	17
372	17	18
373	18	19
374	19	20
375	13	14
376	14	15
377	14	15
378	15	16
379	16	17
380	17	18
381	17	18
382	18	19
383	19	20

