# Contents of current scaler buffer
# Channels 152 - 503
# Chan	Content
  288	6.7281e+07
  289	6.88101e+07
  290	6.67702e+07
  291	4.5566e+07
  292	4.30088e+07
  293	6.73837e+07
  294	7.31449e+07
  295	7.02568e+07
  296	6.82426e+07
  297	6.71297e+07
  298	7.22768e+07
  299	7.20815e+07
  300	7.47773e+07
  301	7.38891e+07
  302	7.30332e+07
  303	7.24044e+07
  304	9.90439e+07
  305	7.21075e+07
  306	7.46664e+07
  307	7.6337e+07
  308	7.72635e+07
  309	7.7037e+07
  310	7.7148e+07
  311	8.24017e+07
  312	8.56085e+07
  313	1.03526e+08
  314	6.09945e+07
  315	8.24386e+07
  316	8.50927e+07
  317	6.60234e+07
  318	6.54139e+07
  319	8.33658e+07
  320	8.14538e+07
  321	8.20468e+07
  322	8.19847e+07
  323	8.35334e+07
  324	5.97015e+07
  325	6.27306e+07
  326	8.69095e+07
  327	8.98235e+07
  328	8.67784e+07
  329	8.75336e+07
  330	9.05217e+07
  331	9.19755e+07
  332	8.34334e+07
  333	1.02118e+08
  334	8.99933e+07
  335	9.61873e+07
  336	9.61423e+07
  337	9.95438e+07
  338	9.76134e+07
  339	1.01256e+08
  340	9.69978e+07
  341	9.99614e+07
  342	9.63879e+07
  343	9.71593e+07
  344	9.95069e+07
  345	1.00442e+08
  346	1.01475e+08
  347	1.0174e+08
  348	9.24787e+07
  349	9.34399e+07
  350	6.23311e+07
  351	9.67229e+07
  352	8.88878e+07
  353	1.04269e+08
  354	8.22409e+07
  355	9.84608e+07
  356	1.14211e+08
  357	1.1544e+08
  358	1.16405e+08
  359	1.19714e+08
  360	1.10968e+08
  361	1.24028e+08
  362	1.11894e+08
  363	1.16929e+08
  364	1.22401e+08
  365	1.1151e+08
  366	1.19889e+08
  367	1.16114e+08
  368	1.04433e+08
  369	1.25067e+08
  370	1.3153e+08
  371	1.04325e+08
  372	1.0981e+08
  373	1.29845e+08
  374	1.33911e+08
  375	1.33929e+08
  376	1.45455e+08
  377	1.19775e+08
  378	1.22115e+08
  379	1.3984e+08
  380	1.41986e+08
  381	1.4069e+08
  382	1.42855e+08
  383	1.46363e+08
  384	1.47719e+08
  385	1.38292e+08
  386	1.38258e+08
  387	1.55558e+08
  388	1.5391e+08
  389	1.49381e+08
  390	1.26434e+08
  391	1.39932e+08
  392	1.56378e+08
  393	1.62229e+08
  394	1.59875e+08
  395	1.59337e+08
  396	1.59374e+08
  397	1.64169e+08
  398	1.68441e+08
  399	1.71695e+08
  400	1.71498e+08
  401	1.57333e+08
  402	1.42156e+08
  403	1.67565e+08
  404	1.79139e+08
  405	1.88103e+08
  406	1.91877e+08
  407	1.87003e+08
  408	1.93707e+08
  409	1.9835e+08
  410	1.99364e+08
  411	2.14022e+08
  412	6.56324e+07
  413	2.02214e+08
  414	1.79255e+08
  415	1.32718e+08
  416	1.08616e+08
  417	1.7771e+08
  418	1.75638e+08
  419	2.02564e+08
  420	1.94038e+08
  421	2.37464e+08
  422	2.2592e+08
  423	2.49056e+08
  424	2.13138e+08
  425	2.07414e+08
  426	2.24559e+08
  427	2.17558e+08
  428	2.35242e+08
  429	2.30547e+08
  430	2.29604e+08
  431	2.57984e+08
  432	2.2187e+08
  433	2.31014e+08
  434	2.15195e+08
  435	1.75191e+08
  436	2.17923e+08
  437	2.57438e+08
  438	2.46966e+08
  439	2.7362e+08
  440	1.54832e+08
  441	3.05271e+08
  442	2.17458e+08
  443	2.5263e+08
  444	3.09205e+08
  445	3.21812e+08
  446	2.99806e+08
  447	3.18624e+08
  448	3.17173e+08
  449	3.15671e+08
  450	3.39637e+08
  451	3.45424e+08
  452	3.56343e+08
  453	3.49909e+08
  454	3.4747e+08
  455	3.60227e+08
  456	3.67355e+08
  457	3.79898e+08
  458	3.92159e+08
  459	3.74739e+08
  460	4.17185e+08
  461	4.18382e+08
  462	3.95229e+08
  463	4.24655e+08
  464	4.35159e+08
  465	4.17837e+08
  466	4.24029e+08
  467	4.42243e+08
  468	4.65321e+08
  469	4.69272e+08
  470	4.51338e+08
  471	4.94072e+08
  472	5.09003e+08
  473	5.20518e+08
  474	4.77934e+08
  475	4.31149e+08
  476	4.89937e+08
  477	5.11871e+08
  478	5.5956e+08
  479	5.95489e+08
  480	5.87754e+08
  481	5.84151e+08
  482	5.91504e+08
  483	5.68639e+08
  484	5.72735e+08
  485	7.20395e+08
  486	7.06914e+08
  487	7.08741e+08
  488	0
  489	0
  490	0
  491	0
  492	0
  493	0
  494	0
  495	0
  496	0
  497	0
  498	0
  499	0
  500	0
  501	0
  502	0
  503	0
