 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 3.2374e+08   Inhib.Clock = 1.44075e+08   Live = 0.445035
Backgr.clock = 1.06413e+09    Backgr.Inhib.clock = 3.31927e+08  Live = 0.311922
Background scale factor = 0.434058

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1    35      204       13    0.1716 +- 0.0314   0.1764 +- 0.0324
   2    35      123       15    0.2846 +- 0.0545   0.3005 +- 0.0584
   3    35      323       26    0.1084 +- 0.0193   0.1123 +- 0.0201
   4    20      353       20    0.0567 +- 0.0130   0.0581 +- 0.0134
   5    46      314       18    0.1465 +- 0.0231   0.1502 +- 0.0238
   6    54      360       19    0.1500 +- 0.0219   0.1535 +- 0.0225
   7    58      482       32    0.1203 +- 0.0167   0.1239 +- 0.0173
   8    62      463       31    0.1339 +- 0.0181   0.1379 +- 0.0187
   9    73      495       26    0.1475 +- 0.0185   0.1509 +- 0.0190
  10    56      535       20    0.1047 +- 0.0147   0.1064 +- 0.0150
  11    53      325       20    0.1631 +- 0.0242   0.1676 +- 0.0249
  12    57      526       21    0.1084 +- 0.0151   0.1103 +- 0.0154
  13    64      210       19    0.3048 +- 0.0435   0.3172 +- 0.0458
  14    83      180       16    0.4611 +- 0.0612   0.4796 +- 0.0646
  15    84      204       11    0.4118 +- 0.0534   0.4216 +- 0.0551
  16    92      344       20    0.2674 +- 0.0314   0.2744 +- 0.0324
  17    87      364       15    0.2390 +- 0.0285   0.2434 +- 0.0292
  18    87      323       19    0.2693 +- 0.0325   0.2764 +- 0.0336
  19    79      334       25    0.2365 +- 0.0296   0.2445 +- 0.0308
  20    85      543       28    0.1565 +- 0.0183   0.1601 +- 0.0187
  21    43      463       24    0.0929 +- 0.0148   0.0950 +- 0.0152
  22    60      510       26    0.1176 +- 0.0161   0.1203 +- 0.0165
  23    60      256       17    0.2344 +- 0.0336   0.2413 +- 0.0349
  24    72      341       20    0.2111 +- 0.0274   0.2167 +- 0.0283
  25    90      589       27    0.1528 +- 0.0173   0.1559 +- 0.0177
  26    80      451       22    0.1774 +- 0.0215   0.1812 +- 0.0221
  27    80      488       25    0.1639 +- 0.0198   0.1677 +- 0.0203
  28    78      555       46    0.1405 +- 0.0170   0.1458 +- 0.0177
  29    66      452       29    0.1460 +- 0.0192   0.1502 +- 0.0199
  30    76      550       25    0.1382 +- 0.0169   0.1410 +- 0.0173
  31    46      301       22    0.1528 +- 0.0242   0.1578 +- 0.0251
  32    40      569       23    0.0703 +- 0.0115   0.0716 +- 0.0117
  33    68      622       31    0.1093 +- 0.0140   0.1117 +- 0.0143
  34    73      369       27    0.1978 +- 0.0253   0.2043 +- 0.0263
  35    83      480       28    0.1729 +- 0.0206   0.1774 +- 0.0212
  36    75      481       19    0.1559 +- 0.0194   0.1586 +- 0.0198
