 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 1.89298e+09   Inhib.Clock = 8.44444e+08   Live = 0.446092
Backgr.clock = 1.18031e+09    Backgr.Inhib.clock = 3.36296e+08  Live = 0.284922
Background scale factor =  2.51101

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   470     1416       31    0.3319 +- 0.0177   0.3512 +- 0.0193
   2   396      728       22    0.5440 +- 0.0340   0.5886 +- 0.0392
   3   361     2215       32    0.1630 +- 0.0093   0.1691 +- 0.0097
   4   193     2374       35    0.0813 +- 0.0061   0.0844 +- 0.0064
   5   340     2035       21    0.1671 +- 0.0098   0.1715 +- 0.0101
   6   723     2185       23    0.3309 +- 0.0142   0.3399 +- 0.0148
   7   693     3161       37    0.2192 +- 0.0092   0.2259 +- 0.0096
   8   755     3239       43    0.2331 +- 0.0094   0.2411 +- 0.0099
   9   775     3165       35    0.2449 +- 0.0098   0.2519 +- 0.0102
  10   596     3244       42    0.1837 +- 0.0082   0.1899 +- 0.0086
  11   648     2187       23    0.2963 +- 0.0133   0.3043 +- 0.0138
  12   661     3258       41    0.2029 +- 0.0087   0.2095 +- 0.0091
  13   665     1482       23    0.4487 +- 0.0209   0.4669 +- 0.0224
  14   925     1280       26    0.7227 +- 0.0312   0.7615 +- 0.0346
  15   943     1223       22    0.7711 +- 0.0334   0.8075 +- 0.0366
  16   926     2285       31    0.4053 +- 0.0158   0.4195 +- 0.0167
  17   920     2546       24    0.3614 +- 0.0139   0.3701 +- 0.0144
  18   939     2075       23    0.4525 +- 0.0178   0.4655 +- 0.0187
  19   933     2186       30    0.4268 +- 0.0167   0.4420 +- 0.0177
  20   972     3128       44    0.3107 +- 0.0114   0.3221 +- 0.0121
  21   459     2928       37    0.1568 +- 0.0079   0.1619 +- 0.0082
  22   639     3132       39    0.2040 +- 0.0089   0.2106 +- 0.0093
  23   687     1501       19    0.4577 +- 0.0211   0.4727 +- 0.0223
  24   767     2305       24    0.3328 +- 0.0139   0.3417 +- 0.0145
  25   953     3755       45    0.2538 +- 0.0092   0.2617 +- 0.0096
  26   751     2464       53    0.3048 +- 0.0127   0.3222 +- 0.0138
  27   865     2933    40593    0.2949 +- 0.0114  -0.0087 +- -0.0003
  28   956     3456      778    0.2766 +- 0.0101   0.6363 +- 0.0439
  29   686     2854       28    0.2404 +- 0.0102   0.2464 +- 0.0106
  30  1048     3686       51    0.2843 +- 0.0100   0.2946 +- 0.0105
  31   606     1906       33    0.3179 +- 0.0148   0.3324 +- 0.0159
  32   665     3358       42    0.1980 +- 0.0084   0.2045 +- 0.0088
  33   705     3554       46    0.1984 +- 0.0082   0.2050 +- 0.0086
  34   672     2214       41    0.3035 +- 0.0134   0.3183 +- 0.0144
  35   912     3010       29    0.3030 +- 0.0115   0.3105 +- 0.0119
  36   784     3078       40    0.2547 +- 0.0102   0.2633 +- 0.0107
  37   817     3059       37    0.2671 +- 0.0105   0.2754 +- 0.0110
