 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.65413e+08   Inhib.Clock = 3.30859e+08   Live = 0.432262
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =  1.72393

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1    86      478        8    0.1799 +- 0.0211   0.1853 +- 0.0219
   2    82      298        7    0.2752 +- 0.0343   0.2868 +- 0.0364
   3    63      885        9    0.0712 +- 0.0093   0.0725 +- 0.0095
   4    46      951        9    0.0484 +- 0.0073   0.0492 +- 0.0074
   5    72      718       11    0.1003 +- 0.0124   0.1030 +- 0.0128
   6   169      883       13    0.1914 +- 0.0161   0.1964 +- 0.0166
   7   143     1154       20    0.1239 +- 0.0110   0.1277 +- 0.0114
   8   137     1331       14    0.1029 +- 0.0092   0.1048 +- 0.0094
   9   159     1249       13    0.1273 +- 0.0107   0.1296 +- 0.0110
  10   114     1223       14    0.0932 +- 0.0091   0.0951 +- 0.0093
  11   121      837        7    0.1446 +- 0.0141   0.1467 +- 0.0143
  12   134     1351       11    0.0992 +- 0.0090   0.1006 +- 0.0091
  13   121      547        8    0.2212 +- 0.0222   0.2269 +- 0.0230
  14   175      448        7    0.3906 +- 0.0348   0.4014 +- 0.0363
  15   197      472       10    0.4174 +- 0.0354   0.4332 +- 0.0375
  16   194      868        7    0.2235 +- 0.0177   0.2267 +- 0.0181
  17   188      971       12    0.1936 +- 0.0154   0.1978 +- 0.0159
  18   212      768       12    0.2760 +- 0.0214   0.2837 +- 0.0223
  19   189      819       16    0.2308 +- 0.0186   0.2388 +- 0.0195
  20   186     1299       17    0.1432 +- 0.0112   0.1465 +- 0.0115
  21   106     1174       12    0.0903 +- 0.0092   0.0919 +- 0.0093
  22   127     1176        8    0.1080 +- 0.0101   0.1093 +- 0.0102
  23   137      585        4    0.2342 +- 0.0222   0.2370 +- 0.0226
  24   188      861        8    0.2184 +- 0.0176   0.2219 +- 0.0180
  25   188     1496       11    0.1257 +- 0.0097   0.1273 +- 0.0099
  26   172     1006       11    0.1710 +- 0.0141   0.1743 +- 0.0145
  27   188     1163       15    0.1617 +- 0.0127   0.1653 +- 0.0131
  28   217     1378       19    0.1575 +- 0.0115   0.1613 +- 0.0119
  29   139     1102        9    0.1261 +- 0.0114   0.1279 +- 0.0115
  30   212     1382       14    0.1534 +- 0.0113   0.1561 +- 0.0116
  31   129      801       13    0.1610 +- 0.0153   0.1657 +- 0.0158
  32   132     1307       11    0.1010 +- 0.0092   0.1025 +- 0.0094
  33   147     1450       14    0.1014 +- 0.0088   0.1031 +- 0.0089
  34   139      857       19    0.1622 +- 0.0148   0.1686 +- 0.0156
  35   191     1191       11    0.1604 +- 0.0125   0.1630 +- 0.0128
  36   185     1214        8    0.1524 +- 0.0120   0.1541 +- 0.0122
  37   178     1308        9    0.1361 +- 0.0109   0.1377 +- 0.0110
  38   183     1205        9    0.1519 +- 0.0120   0.1538 +- 0.0122
  39    30      216        7    0.1389 +- 0.0271   0.1471 +- 0.0291
  40    24      168       10    0.1429 +- 0.0312   0.1592 +- 0.0357
  41   191     1140       21    0.1675 +- 0.0131   0.1730 +- 0.0136
  42   164     1181       19    0.1389 +- 0.0116   0.1428 +- 0.0120
  43   212     1266       17    0.1675 +- 0.0124   0.1714 +- 0.0128
  44   205     1251       11    0.1639 +- 0.0123   0.1664 +- 0.0126
  45   169     1236       14    0.1367 +- 0.0112   0.1395 +- 0.0115
  46   182     1211       19    0.1503 +- 0.0119   0.1545 +- 0.0124
  47   214     1323       10    0.1618 +- 0.0119   0.1639 +- 0.0121
  48   186     1128       14    0.1649 +- 0.0130   0.1685 +- 0.0134
  49   185     1299       19    0.1424 +- 0.0112   0.1461 +- 0.0116
  50   167     1203       12    0.1388 +- 0.0115   0.1412 +- 0.0117
  51   213     1262       12    0.1688 +- 0.0125   0.1716 +- 0.0128
  52    66      507        6    0.1302 +- 0.0170   0.1329 +- 0.0175
  53   101      669       10    0.1510 +- 0.0161   0.1550 +- 0.0167
  54   186     1286       16    0.1446 +- 0.0113   0.1478 +- 0.0117
  55   168     1205       11    0.1394 +- 0.0115   0.1416 +- 0.0117
  56   200     1281       18    0.1561 +- 0.0119   0.1600 +- 0.0122
  57   195     1323       18    0.1474 +- 0.0113   0.1509 +- 0.0116
  58   199     1229       12    0.1619 +- 0.0124   0.1647 +- 0.0126
  59   208     1236        8    0.1683 +- 0.0126   0.1702 +- 0.0128
  60   109      697        4    0.1564 +- 0.0161   0.1579 +- 0.0163
  61   107      695        5    0.1540 +- 0.0160   0.1559 +- 0.0162
  62   215     1285        4    0.1673 +- 0.0123   0.1682 +- 0.0124
  63   176     1299       14    0.1355 +- 0.0109   0.1381 +- 0.0111
  64   216     1437       20    0.1503 +- 0.0110   0.1540 +- 0.0113
  65   200     1354       16    0.1477 +- 0.0112   0.1508 +- 0.0115
  66   210     1382       17    0.1520 +- 0.0113   0.1552 +- 0.0116
  67   204     1365       13    0.1495 +- 0.0112   0.1519 +- 0.0115
  68   240     1461       18    0.1643 +- 0.0114   0.1678 +- 0.0118
  69   238     1421       16    0.1675 +- 0.0117   0.1708 +- 0.0120
  70   142      899        9    0.1580 +- 0.0143   0.1607 +- 0.0146
  71   174     1037       11    0.1678 +- 0.0137   0.1709 +- 0.0141
  72   234     1429        9    0.1638 +- 0.0115   0.1655 +- 0.0117
  73   247     1511       17    0.1635 +- 0.0112   0.1667 +- 0.0115
  74   258     1604       17    0.1608 +- 0.0108   0.1638 +- 0.0110
  75   218     1284       10    0.1698 +- 0.0124   0.1721 +- 0.0127
  76   257     1338       14    0.1921 +- 0.0131   0.1956 +- 0.0134
  77   299     1641       14    0.1822 +- 0.0115   0.1849 +- 0.0117
  78   304     1614       16    0.1884 +- 0.0118   0.1916 +- 0.0120
  79   278     1580       17    0.1759 +- 0.0114   0.1793 +- 0.0117
  80   342     1737       25    0.1969 +- 0.0116   0.2019 +- 0.0120
  81   278     1632       13    0.1703 +- 0.0111   0.1727 +- 0.0112
  82   281     1622       12    0.1732 +- 0.0112   0.1755 +- 0.0114
  83   294     1715       12    0.1714 +- 0.0108   0.1735 +- 0.0110
  84   336     1808       18    0.1858 +- 0.0110   0.1891 +- 0.0113
  85   297     1609        8    0.1846 +- 0.0117   0.1862 +- 0.0118
  86   310     1513       13    0.2049 +- 0.0128   0.2080 +- 0.0130
  87   343     1774       18    0.1933 +- 0.0114   0.1968 +- 0.0117
  88   344     1772       10    0.1941 +- 0.0114   0.1960 +- 0.0116
  89   293     1623       13    0.1805 +- 0.0115   0.1831 +- 0.0117
  90   303     1716       14    0.1766 +- 0.0110   0.1791 +- 0.0112
  91   324     1764       15    0.1837 +- 0.0111   0.1864 +- 0.0113
  92   318     1845       11    0.1724 +- 0.0105   0.1741 +- 0.0106
  93   351     1864       16    0.1883 +- 0.0110   0.1911 +- 0.0112
  94   327     1851       16    0.1767 +- 0.0106   0.1793 +- 0.0108
  95   338     1853       14    0.1824 +- 0.0108   0.1848 +- 0.0110
  96   340     1731       22    0.1964 +- 0.0117   0.2008 +- 0.0120
  97   225     1253       16    0.1796 +- 0.0130   0.1836 +- 0.0134
  98   365     1867       19    0.1955 +- 0.0112   0.1990 +- 0.0115
  99   326     1883       18    0.1731 +- 0.0104   0.1760 +- 0.0106
 100   305     1743       16    0.1750 +- 0.0109   0.1778 +- 0.0111
 101   300     1756       18    0.1708 +- 0.0107   0.1739 +- 0.0109
 102   322     1855       21    0.1736 +- 0.0105   0.1770 +- 0.0107
 103   311     1893       12    0.1643 +- 0.0101   0.1661 +- 0.0102
 104   248     1623       11    0.1528 +- 0.0104   0.1546 +- 0.0106
 105   313     1796       14    0.1743 +- 0.0107   0.1767 +- 0.0109
 106   286     1545        8    0.1851 +- 0.0119   0.1868 +- 0.0121
 107   293     1817       11    0.1613 +- 0.0102   0.1630 +- 0.0103
 108   329     2038       13    0.1614 +- 0.0096   0.1632 +- 0.0097
 109   320     1941       16    0.1649 +- 0.0099   0.1672 +- 0.0101
 110   314     1957       14    0.1604 +- 0.0098   0.1625 +- 0.0099
 111   325     1980       15    0.1641 +- 0.0098   0.1663 +- 0.0100
 112   280     1853       14    0.1511 +- 0.0097   0.1531 +- 0.0098
 113   324     2055       15    0.1577 +- 0.0094   0.1597 +- 0.0096
 114   322     1904       13    0.1691 +- 0.0102   0.1711 +- 0.0103
 115   291     1913       17    0.1521 +- 0.0096   0.1545 +- 0.0098
 116   305     1958        6    0.1558 +- 0.0096   0.1566 +- 0.0097
 117   304     1855       13    0.1639 +- 0.0101   0.1659 +- 0.0103
 118   277     1719        9    0.1611 +- 0.0104   0.1626 +- 0.0106
 119   235     1547       11    0.1519 +- 0.0106   0.1538 +- 0.0108
 120   231     1481       12    0.1560 +- 0.0110   0.1582 +- 0.0112
 121   325     2086       22    0.1558 +- 0.0093   0.1587 +- 0.0095
 122   304     2042       22    0.1489 +- 0.0092   0.1517 +- 0.0094
 123   341     2117       15    0.1611 +- 0.0094   0.1631 +- 0.0095
 124   296     1979        8    0.1496 +- 0.0093   0.1506 +- 0.0094
 125   273     1950        6    0.1400 +- 0.0090   0.1407 +- 0.0091
 126   294     2007       17    0.1465 +- 0.0091   0.1487 +- 0.0093
 127   312     1922       15    0.1623 +- 0.0099   0.1645 +- 0.0101
 128   294     2011       18    0.1462 +- 0.0091   0.1485 +- 0.0093
 129   334     2138       10    0.1562 +- 0.0092   0.1575 +- 0.0093
 130   318     2024        8    0.1571 +- 0.0095   0.1582 +- 0.0096
 131   307     2118       13    0.1449 +- 0.0089   0.1465 +- 0.0090
 132   274     2025       11    0.1353 +- 0.0087   0.1366 +- 0.0088
 133   316     2083       11    0.1517 +- 0.0092   0.1531 +- 0.0093
 134   308     2151        7    0.1432 +- 0.0087   0.1440 +- 0.0088
 135   332     2279       17    0.1457 +- 0.0086   0.1476 +- 0.0087
 136   314     2187       12    0.1436 +- 0.0087   0.1449 +- 0.0088
 137   337     2247       12    0.1500 +- 0.0088   0.1514 +- 0.0089
