 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.58102e+08   Inhib.Clock = 3.28535e+08   Live = 0.433365
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =  1.71182

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
  85   299     1538        8    0.1944 +- 0.0123   0.1962 +- 0.0124
  86   317     1509       13    0.2101 +- 0.0130   0.2132 +- 0.0132
  87   282     1663       18    0.1696 +- 0.0109   0.1728 +- 0.0112
  88   343     1772       10    0.1936 +- 0.0114   0.1955 +- 0.0116
  89   302     1608       13    0.1878 +- 0.0118   0.1904 +- 0.0120
  90   330     1693       14    0.1949 +- 0.0117   0.1977 +- 0.0119
  91   349     1783       15    0.1957 +- 0.0115   0.1986 +- 0.0117
  92   331     1802       11    0.1837 +- 0.0110   0.1856 +- 0.0111
  93   331     1748       16    0.1894 +- 0.0114   0.1924 +- 0.0116
  94   310     1787       16    0.1735 +- 0.0107   0.1762 +- 0.0109
  95   301     1787       14    0.1684 +- 0.0105   0.1707 +- 0.0107
  96   324     1774       22    0.1826 +- 0.0110   0.1866 +- 0.0113
  97   214     1193       16    0.1794 +- 0.0133   0.1836 +- 0.0137
  98   315     1829       19    0.1722 +- 0.0105   0.1753 +- 0.0107
  99   356     1820       18    0.1956 +- 0.0113   0.1990 +- 0.0116
 100   296     1816       16    0.1630 +- 0.0102   0.1655 +- 0.0104
 101   313     1697       18    0.1844 +- 0.0113   0.1879 +- 0.0116
 102   308     1827       21    0.1686 +- 0.0104   0.1720 +- 0.0107
 103   316     1933       12    0.1635 +- 0.0099   0.1652 +- 0.0101
 104   263     1583       11    0.1661 +- 0.0111   0.1681 +- 0.0112
 105   283     1704       14    0.1661 +- 0.0107   0.1684 +- 0.0109
 106   252     1532        8    0.1645 +- 0.0112   0.1660 +- 0.0113
 107   366     1907       11    0.1919 +- 0.0110   0.1938 +- 0.0111
 108   341     1895       13    0.1799 +- 0.0106   0.1821 +- 0.0107
 109   318     1912       16    0.1663 +- 0.0101   0.1687 +- 0.0103
 110   315     1861       14    0.1693 +- 0.0103   0.1715 +- 0.0105
 111   350     1945       15    0.1799 +- 0.0104   0.1824 +- 0.0106
 112   330     1908       14    0.1730 +- 0.0103   0.1752 +- 0.0105
 113   303     2011       15    0.1507 +- 0.0093   0.1526 +- 0.0094
 114   333     1948       13    0.1709 +- 0.0101   0.1729 +- 0.0103
 115   275     1856       17    0.1482 +- 0.0096   0.1505 +- 0.0098
 116   321     1895        6    0.1694 +- 0.0102   0.1703 +- 0.0103
 117   284     1780       13    0.1596 +- 0.0102   0.1616 +- 0.0104
 118   262     1714        9    0.1529 +- 0.0101   0.1542 +- 0.0103
 119   239     1465       11    0.1631 +- 0.0114   0.1653 +- 0.0116
 120   237     1555       12    0.1524 +- 0.0106   0.1545 +- 0.0108
 121   335     2099       22    0.1596 +- 0.0094   0.1625 +- 0.0096
 122   308     2019       22    0.1526 +- 0.0093   0.1555 +- 0.0096
 123   347     1980       15    0.1753 +- 0.0102   0.1776 +- 0.0104
 124   310     1927        8    0.1609 +- 0.0098   0.1620 +- 0.0099
 125   319     1930        6    0.1653 +- 0.0100   0.1662 +- 0.0101
 126   300     2002       17    0.1499 +- 0.0093   0.1521 +- 0.0094
 127   270     1810       15    0.1492 +- 0.0097   0.1513 +- 0.0099
 128   341     1976       18    0.1726 +- 0.0101   0.1753 +- 0.0103
 129   353     2150       10    0.1642 +- 0.0094   0.1655 +- 0.0095
 130   287     1996        8    0.1438 +- 0.0091   0.1448 +- 0.0092
 131   282     2130       13    0.1324 +- 0.0084   0.1338 +- 0.0085
 132   292     2135       11    0.1368 +- 0.0085   0.1380 +- 0.0086
 133   306     2008       11    0.1524 +- 0.0094   0.1538 +- 0.0095
 134   313     2163        7    0.1447 +- 0.0088   0.1455 +- 0.0088
 135   340     2236       17    0.1521 +- 0.0089   0.1541 +- 0.0090
 136   347     2280       12    0.1522 +- 0.0088   0.1536 +- 0.0089
 137   303     2126       12    0.1425 +- 0.0088   0.1439 +- 0.0089
 138   345     2266       17    0.1523 +- 0.0088   0.1542 +- 0.0089
 139   331     2094       21    0.1581 +- 0.0093   0.1608 +- 0.0096
 140   210     1546        9    0.1358 +- 0.0100   0.1372 +- 0.0101
 141   209     1515       10    0.1380 +- 0.0102   0.1395 +- 0.0103
 142   276     2133       16    0.1294 +- 0.0083   0.1311 +- 0.0084
 143   321     2381       17    0.1348 +- 0.0080   0.1365 +- 0.0081
 144   349     2273       15    0.1535 +- 0.0088   0.1553 +- 0.0090
 145   304     2145       18    0.1417 +- 0.0087   0.1438 +- 0.0088
 146   320     2124       13    0.1507 +- 0.0090   0.1523 +- 0.0092
 147   346     2267       12    0.1526 +- 0.0088   0.1540 +- 0.0089
 148   330     2259       15    0.1461 +- 0.0086   0.1478 +- 0.0087
 149   345     2291       12    0.1506 +- 0.0087   0.1520 +- 0.0088
 150   309     2236       13    0.1382 +- 0.0084   0.1396 +- 0.0085
 151   361     2289       16    0.1577 +- 0.0089   0.1596 +- 0.0091
 152   312     2245       17    0.1390 +- 0.0084   0.1408 +- 0.0085
 153   256     2994       22    0.0855 +- 0.0056   0.0866 +- 0.0056
 154   309     2163       19    0.1429 +- 0.0087   0.1450 +- 0.0089
 155   335     2344        6    0.1429 +- 0.0083   0.1435 +- 0.0084
 156   330     2330       14    0.1416 +- 0.0083   0.1431 +- 0.0084
 157   333     2417       18    0.1378 +- 0.0081   0.1396 +- 0.0082
 158   330     2364       22    0.1396 +- 0.0082   0.1419 +- 0.0084
 159   344     2355       11    0.1461 +- 0.0084   0.1472 +- 0.0085
 160   317     2569       11    0.1234 +- 0.0073   0.1243 +- 0.0074
 161   231     2617       23    0.0883 +- 0.0061   0.0896 +- 0.0062
 162   389     3256       14    0.1195 +- 0.0064   0.1204 +- 0.0065
 163   297     1810       14    0.1641 +- 0.0103   0.1663 +- 0.0104
 164   390     2457       14    0.1587 +- 0.0087   0.1603 +- 0.0088
 165   354     2616        9    0.1353 +- 0.0077   0.1361 +- 0.0077
 166   209     1879       11    0.1112 +- 0.0081   0.1124 +- 0.0082
 167   259     1994       20    0.1299 +- 0.0086   0.1322 +- 0.0088
 168   354     2603       14    0.1360 +- 0.0077   0.1373 +- 0.0078
 169   331     2509       15    0.1319 +- 0.0077   0.1333 +- 0.0078
 170   352     2613       13    0.1347 +- 0.0076   0.1359 +- 0.0077
 171   363     2441        9    0.1487 +- 0.0084   0.1497 +- 0.0084
 172   396     2573       10    0.1539 +- 0.0083   0.1549 +- 0.0084
