 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 1.57495e+09   Inhib.Clock = 6.98907e+08   Live = 0.443765
Backgr.clock = 1.17532e+09    Backgr.Inhib.clock = 4.01146e+08  Live = 0.341308
Background scale factor =  1.74228

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   300      905       12    0.3315 +- 0.0221   0.3393 +- 0.0229
   2   278      603       14    0.4610 +- 0.0334   0.4805 +- 0.0357
   3   292     1699       35    0.1719 +- 0.0109   0.1783 +- 0.0114
   4   161     1867       26    0.0862 +- 0.0071   0.0884 +- 0.0073
   5   268     1426       14    0.1879 +- 0.0125   0.1912 +- 0.0128
   6   545     1734       24    0.3143 +- 0.0154   0.3221 +- 0.0160
   7   556     2425       37    0.2293 +- 0.0108   0.2355 +- 0.0112
   8   614     2361       29    0.2601 +- 0.0118   0.2657 +- 0.0121
   9   615     2271       23    0.2708 +- 0.0123   0.2757 +- 0.0126
  10   503     2462       34    0.2043 +- 0.0100   0.2093 +- 0.0103
  11   484     1717       18    0.2819 +- 0.0145   0.2871 +- 0.0149
  12   529     2663       24    0.1986 +- 0.0095   0.2018 +- 0.0097
  13   516      966       25    0.5342 +- 0.0291   0.5594 +- 0.0315
  14   738      870       14    0.8483 +- 0.0425   0.8727 +- 0.0448
  15   775      910       19    0.8516 +- 0.0416   0.8838 +- 0.0446
  16   713     1684       37    0.4234 +- 0.0189   0.4402 +- 0.0201
  17   738     1896       27    0.3892 +- 0.0169   0.3991 +- 0.0176
  18   724     1503       23    0.4817 +- 0.0218   0.4949 +- 0.0228
  19   720     1653       24    0.4356 +- 0.0194   0.4469 +- 0.0203
  20   798     2447       29    0.3261 +- 0.0133   0.3330 +- 0.0137
  21   363     2216       20    0.1638 +- 0.0093   0.1664 +- 0.0095
  22   533     2399       24    0.2222 +- 0.0106   0.2261 +- 0.0109
  23   583     1135       16    0.5137 +- 0.0262   0.5266 +- 0.0273
  24   697     1783       21    0.3909 +- 0.0175   0.3991 +- 0.0180
  25   698     2834       28    0.2463 +- 0.0104   0.2506 +- 0.0107
  26   647     1909       22    0.3389 +- 0.0154   0.3459 +- 0.0159
  27   678     2218       38    0.3057 +- 0.0134   0.3151 +- 0.0140
  28   826     2646       36    0.3122 +- 0.0124   0.3197 +- 0.0129
  29   613     2165       29    0.2831 +- 0.0130   0.2899 +- 0.0134
  30   802     2688       29    0.2984 +- 0.0120   0.3041 +- 0.0123
  31   531     1508       23    0.3521 +- 0.0178   0.3617 +- 0.0185
  32   529     2544       24    0.2079 +- 0.0099   0.2114 +- 0.0102
  33   575     2742       37    0.2097 +- 0.0096   0.2147 +- 0.0099
  34   515     1703       29    0.3024 +- 0.0152   0.3117 +- 0.0159
  35   671     2223       24    0.3018 +- 0.0133   0.3076 +- 0.0137
  36   688     2396       25    0.2871 +- 0.0124   0.2925 +- 0.0127
  37   613     2306       27    0.2658 +- 0.0121   0.2714 +- 0.0124
  38   747     2430       24    0.3074 +- 0.0129   0.3128 +- 0.0132
  39   101      377       10    0.2679 +- 0.0300   0.2809 +- 0.0321
  40    73      323       18    0.2260 +- 0.0293   0.2503 +- 0.0337
  41   752     2355       26    0.3193 +- 0.0134   0.3256 +- 0.0138
  42   723     2369       27    0.3052 +- 0.0130   0.3114 +- 0.0133
  43   706     2383       32    0.2963 +- 0.0127   0.3034 +- 0.0131
  44   696     2377       29    0.2928 +- 0.0126   0.2992 +- 0.0130
  45   704     2399       27    0.2935 +- 0.0126   0.2993 +- 0.0129
  46   685     2352       31    0.2912 +- 0.0126   0.2981 +- 0.0131
  47   736     2475       27    0.2974 +- 0.0125   0.3031 +- 0.0128
  48   656     2189       24    0.2997 +- 0.0133   0.3055 +- 0.0137
  49   745     2642       31    0.2820 +- 0.0117   0.2879 +- 0.0120
  50   648     2402       18    0.2698 +- 0.0119   0.2733 +- 0.0122
  51   753     2408       24    0.3127 +- 0.0131   0.3182 +- 0.0134
  52   273     1014       13    0.2692 +- 0.0184   0.2754 +- 0.0189
  53   312     1135       13    0.2749 +- 0.0176   0.2805 +- 0.0181
  54   766     2502       25    0.3062 +- 0.0126   0.3116 +- 0.0130
  55   742     2353       20    0.3153 +- 0.0133   0.3201 +- 0.0136
  56   750     2468       28    0.3039 +- 0.0127   0.3100 +- 0.0130
  57   746     2504       34    0.2979 +- 0.0124   0.3051 +- 0.0129
  58   720     2309       36    0.3118 +- 0.0133   0.3205 +- 0.0139
  59   730     2294       14    0.3182 +- 0.0135   0.3216 +- 0.0137
