 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 1.05953e+09   Inhib.Clock = 4.53275e+08   Live = 0.427809
Backgr.clock = 1.17532e+09    Backgr.Inhib.clock = 4.01146e+08  Live = 0.341308
Background scale factor =  1.12995

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   255      814       12    0.3133 +- 0.0225   0.3186 +- 0.0230
   2   268      475       14    0.5642 +- 0.0431   0.5836 +- 0.0455
   3   230     1467       35    0.1568 +- 0.0111   0.1611 +- 0.0115
   4   116     1550       26    0.0748 +- 0.0072   0.0763 +- 0.0074
   5   243     1219       14    0.1993 +- 0.0140   0.2020 +- 0.0142
   6   470     1490       24    0.3154 +- 0.0167   0.3213 +- 0.0171
   7   471     2147       37    0.2194 +- 0.0112   0.2237 +- 0.0114
   8   453     2097       29    0.2160 +- 0.0112   0.2195 +- 0.0114
   9   486     1960       23    0.2480 +- 0.0126   0.2513 +- 0.0128
  10   362     2113       34    0.1713 +- 0.0097   0.1745 +- 0.0100
  11   386     1541       18    0.2505 +- 0.0143   0.2538 +- 0.0145
  12   434     2136       24    0.2032 +- 0.0107   0.2058 +- 0.0109
  13   456      827       25    0.5514 +- 0.0322   0.5709 +- 0.0340
  14   657      783       14    0.8391 +- 0.0444   0.8564 +- 0.0460
  15   639      786       19    0.8130 +- 0.0433   0.8358 +- 0.0454
  16   648     1516       37    0.4274 +- 0.0201   0.4396 +- 0.0209
  17   620     1565       27    0.3962 +- 0.0188   0.4040 +- 0.0193
  18   653     1293       23    0.5050 +- 0.0242   0.5154 +- 0.0250
  19   675     1530       24    0.4412 +- 0.0204   0.4491 +- 0.0209
  20   696     2155       29    0.3230 +- 0.0141   0.3280 +- 0.0144
  21   329     1998       20    0.1647 +- 0.0098   0.1665 +- 0.0099
  22   457     2183       24    0.2093 +- 0.0108   0.2120 +- 0.0109
  23   478      980       16    0.4878 +- 0.0272   0.4969 +- 0.0280
  24   553     1465       21    0.3775 +- 0.0188   0.3837 +- 0.0193
  25   648     2527       28    0.2564 +- 0.0113   0.2597 +- 0.0115
  26   542     1662       22    0.3261 +- 0.0161   0.3311 +- 0.0165
  27   615     2034       38    0.3024 +- 0.0139   0.3089 +- 0.0143
  28   667     2261       36    0.2950 +- 0.0130   0.3004 +- 0.0133
  29   488     1793       29    0.2722 +- 0.0139   0.2772 +- 0.0142
  30   647     2351       29    0.2752 +- 0.0122   0.2791 +- 0.0124
  31   413     1349       23    0.3062 +- 0.0172   0.3122 +- 0.0177
  32   459     2196       24    0.2090 +- 0.0107   0.2116 +- 0.0109
  33   466     2290       37    0.2035 +- 0.0103   0.2073 +- 0.0106
  34   470     1531       29    0.3070 +- 0.0162   0.3137 +- 0.0167
  35   587     2037       24    0.2882 +- 0.0135   0.2921 +- 0.0137
  36   543     2131       25    0.2548 +- 0.0122   0.2582 +- 0.0125
  37   558     2136       27    0.2612 +- 0.0124   0.2650 +- 0.0127
  38   630     2099       24    0.3001 +- 0.0136   0.3041 +- 0.0139
  39    80      278       10    0.2878 +- 0.0365   0.3000 +- 0.0386
  40    82      260       18    0.3154 +- 0.0399   0.3422 +- 0.0448
  41   556     1985       26    0.2801 +- 0.0134   0.2843 +- 0.0137
  42   608     2049       27    0.2967 +- 0.0137   0.3012 +- 0.0140
  43   618     2190       32    0.2822 +- 0.0129   0.2869 +- 0.0131
  44   626     2171       29    0.2883 +- 0.0131   0.2928 +- 0.0134
  45   627     2133       27    0.2940 +- 0.0134   0.2982 +- 0.0136
  46   622     2184       31    0.2848 +- 0.0129   0.2894 +- 0.0132
  47   648     2139       27    0.3029 +- 0.0136   0.3073 +- 0.0139
  48   624     2088       24    0.2989 +- 0.0136   0.3028 +- 0.0139
  49   629     2326       31    0.2704 +- 0.0122   0.2746 +- 0.0124
  50   609     2099       18    0.2901 +- 0.0134   0.2930 +- 0.0135
  51   643     2152       24    0.2988 +- 0.0134   0.3026 +- 0.0137
  52   235      875       13    0.2686 +- 0.0197   0.2732 +- 0.0202
  53   303     1149       13    0.2637 +- 0.0170   0.2671 +- 0.0173
  54   671     2256       25    0.2974 +- 0.0131   0.3012 +- 0.0133
  55   679     2227       20    0.3049 +- 0.0134   0.3080 +- 0.0136
  56   711     2338       28    0.3041 +- 0.0130   0.3083 +- 0.0133
  57   618     2254       34    0.2742 +- 0.0124   0.2789 +- 0.0127
  58   646     2162       36    0.2988 +- 0.0134   0.3045 +- 0.0137
  59   655     2141       14    0.3059 +- 0.0137   0.3082 +- 0.0138
  60   342     1165       16    0.2936 +- 0.0181   0.2982 +- 0.0184
  61   334     1201       19    0.2781 +- 0.0172   0.2832 +- 0.0176
  62   656     2232       30    0.2939 +- 0.0131   0.2984 +- 0.0133
  63   579     2115       21    0.2738 +- 0.0128   0.2769 +- 0.0130
  64   663     2439       39    0.2718 +- 0.0119   0.2768 +- 0.0122
  65   680     2453       41    0.2772 +- 0.0120   0.2825 +- 0.0123
  66   718     2337       25    0.3072 +- 0.0131   0.3110 +- 0.0133
  67   636     2386       18    0.2666 +- 0.0119   0.2688 +- 0.0120
  68   685     2428       43    0.2821 +- 0.0122   0.2879 +- 0.0125
  69   723     2366       26    0.3056 +- 0.0130   0.3094 +- 0.0132
  70   446     1489       11    0.2995 +- 0.0162   0.3021 +- 0.0164
  71   520     1646       15    0.3159 +- 0.0159   0.3192 +- 0.0161
  72   674     2428       23    0.2776 +- 0.0121   0.2806 +- 0.0123
  73   719     2567       25    0.2801 +- 0.0118   0.2832 +- 0.0120
  74   681     2347       23    0.2902 +- 0.0126   0.2934 +- 0.0128
  75   551     2006       23    0.2747 +- 0.0132   0.2783 +- 0.0134
  76   622     2097       23    0.2966 +- 0.0135   0.3003 +- 0.0138
  77   770     2475       19    0.3111 +- 0.0128   0.3138 +- 0.0130
  78   797     2582       21    0.3087 +- 0.0125   0.3115 +- 0.0127
  79   772     2620       25    0.2947 +- 0.0121   0.2979 +- 0.0122
  80   796     2682       35    0.2968 +- 0.0120   0.3012 +- 0.0122
  81   732     2614       21    0.2800 +- 0.0117   0.2826 +- 0.0119
  82   744     2565       25    0.2901 +- 0.0121   0.2933 +- 0.0123
  83   739     2662       20    0.2776 +- 0.0115   0.2800 +- 0.0117
  84   727     2688       28    0.2705 +- 0.0113   0.2737 +- 0.0115
  85   684     2425       19    0.2821 +- 0.0122   0.2846 +- 0.0124
  86   717     2442       25    0.2936 +- 0.0125   0.2970 +- 0.0127
  87   845     2841       36    0.2974 +- 0.0117   0.3018 +- 0.0119
  88   771     2720       26    0.2835 +- 0.0116   0.2866 +- 0.0117
  89   756     2588       31    0.2921 +- 0.0121   0.2961 +- 0.0123
  90   783     2690       33    0.2911 +- 0.0118   0.2952 +- 0.0120
  91   823     2810       21    0.2929 +- 0.0116   0.2954 +- 0.0117
  92   895     2945       23    0.3039 +- 0.0116   0.3066 +- 0.0117
  93   818     2892       18    0.2828 +- 0.0112   0.2849 +- 0.0113
  94   786     2830       27    0.2777 +- 0.0112   0.2808 +- 0.0114
  95   830     2872       32    0.2890 +- 0.0114   0.2927 +- 0.0116
  96   817     2832       39    0.2885 +- 0.0115   0.2930 +- 0.0117
  97   566     1995       22    0.2837 +- 0.0135   0.2873 +- 0.0137
  98   849     2933       44    0.2895 +- 0.0113   0.2945 +- 0.0115
