 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.88047e+08   Inhib.Clock = 3.53851e+08   Live = 0.449023
Backgr.clock = 9.00221e+08    Backgr.Inhib.clock = 2.78878e+08  Live = 0.309789
Background scale factor =  1.26884

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   176      628       15    0.2803 +- 0.0239   0.2890 +- 0.0249
   2   161      374        9    0.4305 +- 0.0406   0.4440 +- 0.0425
   3   178     1157       15    0.1538 +- 0.0124   0.1564 +- 0.0126
   4    81     1191       22    0.0680 +- 0.0078   0.0696 +- 0.0080
   5   158     1005       22    0.1572 +- 0.0135   0.1617 +- 0.0139
   6   335     1189       15    0.2817 +- 0.0174   0.2863 +- 0.0178
   7   339     1538       23    0.2204 +- 0.0132   0.2247 +- 0.0136
   8   320     1578       22    0.2028 +- 0.0124   0.2064 +- 0.0127
   9   373     1552       11    0.2403 +- 0.0139   0.2425 +- 0.0140
  10   298     1651       18    0.1805 +- 0.0114   0.1830 +- 0.0116
  11   301     1142       14    0.2636 +- 0.0171   0.2677 +- 0.0174
  12   327     1654       20    0.1977 +- 0.0120   0.2008 +- 0.0122
  13   350      660       12    0.5303 +- 0.0351   0.5428 +- 0.0364
  14   449      659       16    0.6813 +- 0.0417   0.7030 +- 0.0439
  15   416      644        8    0.6460 +- 0.0406   0.6563 +- 0.0417
  16   454     1137       16    0.3993 +- 0.0222   0.4066 +- 0.0228
  17   416     1281       23    0.3247 +- 0.0183   0.3323 +- 0.0189
  18   474     1061       20    0.4467 +- 0.0247   0.4577 +- 0.0256
  19   493     1195       23    0.4126 +- 0.0221   0.4229 +- 0.0229
  20   451     1580       25    0.2854 +- 0.0152   0.2913 +- 0.0157
  21   200     1532       12    0.1305 +- 0.0098   0.1319 +- 0.0099
  22   361     1646        9    0.2193 +- 0.0127   0.2209 +- 0.0129
  23   324      745       13    0.4349 +- 0.0289   0.4447 +- 0.0299
