 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 8.35397e+08   Inhib.Clock = 3.49848e+08   Live =  0.41878
Backgr.clock = 9.30932e+08    Backgr.Inhib.clock = 2.73464e+08  Live = 0.293753
Background scale factor =  1.27932

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
  84   675     1943       72    0.3474 +- 0.0155   0.3647 +- 0.0166
  85   632     1711       53    0.3694 +- 0.0172   0.3846 +- 0.0182
  86   626     1777       48    0.3523 +- 0.0164   0.3649 +- 0.0172
  87   641     1892       59    0.3388 +- 0.0155   0.3529 +- 0.0164
  88   660     1934       66    0.3413 +- 0.0154   0.3568 +- 0.0164
  89   590     1725       62    0.3420 +- 0.0163   0.3585 +- 0.0175
  90   625     1825       53    0.3425 +- 0.0159   0.3557 +- 0.0168
  91   727     1965       55    0.3700 +- 0.0161   0.3837 +- 0.0169
  92   667     1925       49    0.3465 +- 0.0156   0.3582 +- 0.0163
  93   641     1931       52    0.3320 +- 0.0151   0.3438 +- 0.0159
  94   662     1978       55    0.3347 +- 0.0150   0.3470 +- 0.0158
  95   652     2023       65    0.3223 +- 0.0145   0.3361 +- 0.0154
  96   673     1970       73    0.3416 +- 0.0153   0.3586 +- 0.0164
  97   469     1400       60    0.3350 +- 0.0179   0.3544 +- 0.0194
  98   656     2000       57    0.3280 +- 0.0148   0.3404 +- 0.0156
  99   652     2009       62    0.3245 +- 0.0146   0.3379 +- 0.0155
 100   648     2053       68    0.3156 +- 0.0142   0.3296 +- 0.0151
 101   634     1904       75    0.3330 +- 0.0153   0.3507 +- 0.0164
 102   627     1984       68    0.3160 +- 0.0145   0.3305 +- 0.0154
 103   600     2026       61    0.2962 +- 0.0138   0.3080 +- 0.0145
 104   571     1762       50    0.3241 +- 0.0156   0.3363 +- 0.0164
 105   654     1988       49    0.3290 +- 0.0148   0.3397 +- 0.0155
 106   560     1647       50    0.3400 +- 0.0166   0.3538 +- 0.0176
 107   692     2074       60    0.3337 +- 0.0146   0.3465 +- 0.0155
 108   665     2028       74    0.3279 +- 0.0147   0.3440 +- 0.0157
 109   636     2141       51    0.2971 +- 0.0134   0.3064 +- 0.0140
 110   617     2056       53    0.3001 +- 0.0138   0.3103 +- 0.0144
 111   666     2161       75    0.3082 +- 0.0137   0.3225 +- 0.0146
 112   595     2090       59    0.2847 +- 0.0132   0.2954 +- 0.0139
 113   673     2130       61    0.3160 +- 0.0140   0.3280 +- 0.0147
 114   634     2026       49    0.3129 +- 0.0142   0.3229 +- 0.0149
 115   654     2150       64    0.3042 +- 0.0136   0.3162 +- 0.0143
 116   660     2123       58    0.3109 +- 0.0139   0.3221 +- 0.0146
 117   581     1990       51    0.2920 +- 0.0138   0.3019 +- 0.0144
 118   575     1894       63    0.3036 +- 0.0145   0.3171 +- 0.0154
 119   533     1907       50    0.2795 +- 0.0137   0.2892 +- 0.0143
 120   653     2078       51    0.3142 +- 0.0141   0.3244 +- 0.0147
 121   657     2266       65    0.2899 +- 0.0128   0.3010 +- 0.0135
 122   644     2294       80    0.2807 +- 0.0125   0.2938 +- 0.0133
 123   650     2315       73    0.2808 +- 0.0125   0.2926 +- 0.0132
 124   685     2257       56    0.3035 +- 0.0132   0.3134 +- 0.0138
 125   626     2237       49    0.2798 +- 0.0127   0.2879 +- 0.0132
 126   617     2243       65    0.2751 +- 0.0125   0.2857 +- 0.0132
 127   661     2087       69    0.3167 +- 0.0141   0.3307 +- 0.0150
 128   643     2119       78    0.3034 +- 0.0137   0.3184 +- 0.0146
 129   655     2369       67    0.2765 +- 0.0122   0.2869 +- 0.0128
 130   650     2303       77    0.2822 +- 0.0125   0.2949 +- 0.0133
 131   615     2282       60    0.2695 +- 0.0122   0.2789 +- 0.0128
 132   603     2331       57    0.2587 +- 0.0118   0.2670 +- 0.0123
 133   666     2406       64    0.2768 +- 0.0121   0.2866 +- 0.0127
 134   616     2330       91    0.2644 +- 0.0120   0.2783 +- 0.0128
 135   621     2396       78    0.2592 +- 0.0117   0.2704 +- 0.0124
