 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 1.09252e+09   Inhib.Clock = 4.66229e+08   Live = 0.426746
Backgr.clock = 1.18031e+09    Backgr.Inhib.clock = 3.36296e+08  Live = 0.284922
Background scale factor =  1.38636

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   232      768       31    0.3021 +- 0.0226   0.3200 +- 0.0245
   2   214      459       22    0.4662 +- 0.0386   0.4994 +- 0.0430
   3   233     1346       32    0.1731 +- 0.0123   0.1790 +- 0.0128
   4   110     1467       35    0.0750 +- 0.0074   0.0775 +- 0.0077
   5   196     1142       21    0.1716 +- 0.0133   0.1761 +- 0.0137
   6   410     1362       23    0.3010 +- 0.0170   0.3082 +- 0.0175
   7   443     1875       37    0.2363 +- 0.0125   0.2429 +- 0.0130
   8   421     1875       43    0.2245 +- 0.0121   0.2319 +- 0.0126
   9   455     1842       35    0.2470 +- 0.0129   0.2537 +- 0.0134
  10   347     1885       42    0.1841 +- 0.0108   0.1900 +- 0.0112
  11   363     1311       23    0.2769 +- 0.0164   0.2838 +- 0.0170
  12   404     1959       41    0.2062 +- 0.0113   0.2124 +- 0.0117
  13   392      754       23    0.5199 +- 0.0324   0.5429 +- 0.0347
  14   557      793       26    0.7024 +- 0.0388   0.7358 +- 0.0421
  15   615      729       22    0.8436 +- 0.0462   0.8805 +- 0.0499
  16   548     1387       31    0.3951 +- 0.0199   0.4077 +- 0.0209
  17   474     1455       24    0.3258 +- 0.0172   0.3334 +- 0.0178
  18   528     1197       23    0.4411 +- 0.0230   0.4532 +- 0.0240
  19   559     1349       30    0.4144 +- 0.0208   0.4276 +- 0.0219
  20   609     2000       44    0.3045 +- 0.0141   0.3141 +- 0.0147
  21   310     1705       37    0.1818 +- 0.0112   0.1875 +- 0.0117
  22   415     1907       39    0.2176 +- 0.0118   0.2240 +- 0.0122
  23   405      954       19    0.4245 +- 0.0252   0.4366 +- 0.0263
  24   487     1373       24    0.3547 +- 0.0187   0.3635 +- 0.0194
  25   582     2306       45    0.2524 +- 0.0117   0.2594 +- 0.0121
  26   450     1495       53    0.3010 +- 0.0162   0.3166 +- 0.0174
  27   527     1760    40593    0.2994 +- 0.0149  -0.0097 +- -0.0004
  28   618     2082      778    0.2968 +- 0.0136   0.6159 +- 0.0443
  29   437     1668       28    0.2620 +- 0.0141   0.2682 +- 0.0145
  30   596     2113       51    0.2821 +- 0.0131   0.2918 +- 0.0137
  31   335     1169       33    0.2866 +- 0.0178   0.2982 +- 0.0188
  32   385     2009       42    0.1916 +- 0.0107   0.1974 +- 0.0111
  33   389     2080       46    0.1870 +- 0.0103   0.1929 +- 0.0107
  34   397     1386       41    0.2864 +- 0.0163   0.2987 +- 0.0173
  35   472     1757       29    0.2686 +- 0.0139   0.2749 +- 0.0144
  36   466     1835       40    0.2540 +- 0.0132   0.2619 +- 0.0137
  37   508     1847       37    0.2750 +- 0.0138   0.2829 +- 0.0143
  38   495     1775       30    0.2789 +- 0.0142   0.2856 +- 0.0146
  39    60      252       13    0.2381 +- 0.0342   0.2564 +- 0.0378
  40    47      233       14    0.2017 +- 0.0323   0.2200 +- 0.0361
  41   523     1851       33    0.2825 +- 0.0140   0.2897 +- 0.0145
  42   454     1807       38    0.2512 +- 0.0132   0.2588 +- 0.0137
  43   483     1838       30    0.2628 +- 0.0134   0.2689 +- 0.0139
  44   495     1788       47    0.2768 +- 0.0141   0.2873 +- 0.0148
  45   528     1870       41    0.2824 +- 0.0139   0.2912 +- 0.0145
  46   459     1804       33    0.2544 +- 0.0133   0.2611 +- 0.0138
  47   580     1945       37    0.2982 +- 0.0141   0.3063 +- 0.0146
  48   481     1747       36    0.2753 +- 0.0142   0.2834 +- 0.0148
  49   507     2067       41    0.2453 +- 0.0122   0.2522 +- 0.0126
  50   465     1871       34    0.2485 +- 0.0129   0.2550 +- 0.0133
  51   567     1879       31    0.3018 +- 0.0145   0.3088 +- 0.0149
  52   188      781       17    0.2407 +- 0.0196   0.2482 +- 0.0204
  53   232      899       21    0.2581 +- 0.0190   0.2667 +- 0.0199
  54   560     1959       32    0.2859 +- 0.0137   0.2925 +- 0.0141
  55   534     1912       35    0.2793 +- 0.0137   0.2866 +- 0.0142
  56   579     2020       31    0.2866 +- 0.0135   0.2929 +- 0.0139
  57   590     1989       37    0.2966 +- 0.0139   0.3045 +- 0.0144
  58   523     1877       32    0.2786 +- 0.0138   0.2854 +- 0.0142
  59   539     1857       36    0.2903 +- 0.0142   0.2983 +- 0.0147
  60   280     1017       31    0.2753 +- 0.0186   0.2875 +- 0.0197
  61   267     1024       22    0.2607 +- 0.0179   0.2687 +- 0.0187
  62   609     1984       32    0.3070 +- 0.0142   0.3140 +- 0.0147
  63   581     1996       38    0.2911 +- 0.0137   0.2990 +- 0.0142
  64   596     2168       40    0.2749 +- 0.0127   0.2821 +- 0.0132
  65   646     2112       43    0.3059 +- 0.0138   0.3148 +- 0.0143
  66   630     2079       37    0.3030 +- 0.0138   0.3107 +- 0.0143
  67   707     2259       35    0.3130 +- 0.0135   0.3198 +- 0.0139
  68   724     2323       43    0.3117 +- 0.0133   0.3199 +- 0.0138
  69   734     2172       34    0.3379 +- 0.0144   0.3454 +- 0.0149
  70   424     1362       17    0.3113 +- 0.0173   0.3168 +- 0.0177
  71   492     1564       27    0.3146 +- 0.0163   0.3223 +- 0.0168
  72   767     2279       43    0.3366 +- 0.0140   0.3456 +- 0.0146
  73   726     2372       48    0.3061 +- 0.0130   0.3149 +- 0.0135
  74   804     2488       37    0.3232 +- 0.0131   0.3300 +- 0.0135
  75   610     2093       33    0.2914 +- 0.0134   0.2980 +- 0.0138
  76   647     2091       33    0.3094 +- 0.0139   0.3163 +- 0.0144
  77   812     2463       33    0.3297 +- 0.0133   0.3359 +- 0.0137
  78   835     2510       40    0.3327 +- 0.0133   0.3402 +- 0.0137
  79   866     2523       52    0.3432 +- 0.0135   0.3533 +- 0.0141
  80   848     2575       32    0.3293 +- 0.0130   0.3351 +- 0.0134
  81   817     2448       40    0.3337 +- 0.0135   0.3415 +- 0.0139
  82   775     2370       40    0.3270 +- 0.0135   0.3348 +- 0.0140
  83   754     2374       40    0.3176 +- 0.0133   0.3252 +- 0.0137
  84   783     2572       40    0.3044 +- 0.0124   0.3111 +- 0.0128
  85   741     2321       28    0.3193 +- 0.0135   0.3247 +- 0.0138
  86   783     2343       22    0.3342 +- 0.0138   0.3386 +- 0.0141
  87   781     2518       37    0.3102 +- 0.0127   0.3166 +- 0.0131
  88   810     2589       39    0.3129 +- 0.0126   0.3195 +- 0.0130
  89   768     2392       37    0.3211 +- 0.0133   0.3281 +- 0.0137
  90   764     2524       32    0.3027 +- 0.0125   0.3081 +- 0.0128
  91   806     2586       35    0.3117 +- 0.0126   0.3176 +- 0.0129
  92   842     2595       31    0.3245 +- 0.0129   0.3299 +- 0.0132
  93   771     2635       52    0.2926 +- 0.0120   0.3008 +- 0.0125
  94   806     2709       40    0.2975 +- 0.0119   0.3037 +- 0.0123
  95   816     2747       42    0.2971 +- 0.0118   0.3035 +- 0.0122
  96   793     2566       58    0.3090 +- 0.0126   0.3190 +- 0.0131
  97   553     1741       34    0.3176 +- 0.0155   0.3265 +- 0.0161
  98   849     2659       48    0.3193 +- 0.0126   0.3275 +- 0.0130
  99   826     2745       44    0.3009 +- 0.0119   0.3077 +- 0.0123
 100   756     2697       51    0.2803 +- 0.0115   0.2879 +- 0.0120
 101   721     2545       35    0.2833 +- 0.0120   0.2888 +- 0.0123
 102   760     2646       47    0.2872 +- 0.0118   0.2945 +- 0.0122
 103   774     2747       52    0.2818 +- 0.0115   0.2894 +- 0.0119
 104   677     2438       37    0.2777 +- 0.0121   0.2837 +- 0.0124
 105   768     2666       38    0.2881 +- 0.0118   0.2939 +- 0.0121
 106   679     2305       39    0.2946 +- 0.0129   0.3017 +- 0.0133
 107   883     2816       47    0.3136 +- 0.0121   0.3210 +- 0.0125
 108   798     2775       38    0.2876 +- 0.0116   0.2931 +- 0.0119
 109   815     2878       27    0.2832 +- 0.0112   0.2869 +- 0.0114
 110   791     2832       48    0.2793 +- 0.0112   0.2860 +- 0.0116
 111   829     2947       49    0.2813 +- 0.0111   0.2879 +- 0.0114
 112   788     2865       40    0.2750 +- 0.0111   0.2805 +- 0.0114
 113   794     2861       51    0.2775 +- 0.0111   0.2846 +- 0.0115
 114   812     2735       51    0.2969 +- 0.0119   0.3048 +- 0.0123
 115   807     2802       52    0.2880 +- 0.0115   0.2956 +- 0.0119
 116   722     2834       36    0.2548 +- 0.0106   0.2593 +- 0.0109
 117   834     2841       41    0.2936 +- 0.0116   0.2996 +- 0.0119
 118   742     2608       27    0.2845 +- 0.0118   0.2887 +- 0.0121
 119   658     2443       32    0.2693 +- 0.0118   0.2743 +- 0.0121
 120   698     2549       37    0.2738 +- 0.0117   0.2795 +- 0.0120
 121   786     2973       46    0.2644 +- 0.0106   0.2702 +- 0.0109
 122   779     3032       49    0.2569 +- 0.0103   0.2628 +- 0.0106
 123   813     3121       51    0.2605 +- 0.0103   0.2665 +- 0.0106
 124   805     2993       40    0.2690 +- 0.0107   0.2740 +- 0.0110
