 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 1.57381e+09   Inhib.Clock = 6.97046e+08   Live = 0.442904
Backgr.clock = 1.17532e+09    Backgr.Inhib.clock = 4.01146e+08  Live = 0.341308
Background scale factor =  1.73763

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   282      939       12    0.3003 +- 0.0204   0.3071 +- 0.0211
   2   300      591       14    0.5076 +- 0.0360   0.5294 +- 0.0386
   3   269     1722       35    0.1562 +- 0.0102   0.1619 +- 0.0107
   4   166     1715       26    0.0968 +- 0.0079   0.0994 +- 0.0081
   5   292     1487       14    0.1964 +- 0.0126   0.1996 +- 0.0128
   6   552     1694       24    0.3259 +- 0.0160   0.3341 +- 0.0166
   7   541     2426       37    0.2230 +- 0.0106   0.2291 +- 0.0110
   8   531     2475       29    0.2145 +- 0.0103   0.2190 +- 0.0105
   9   596     2293       23    0.2599 +- 0.0120   0.2645 +- 0.0122
  10   503     2380       34    0.2113 +- 0.0104   0.2167 +- 0.0107
  11   482     1706       18    0.2825 +- 0.0146   0.2878 +- 0.0150
  12   533     2521       24    0.2114 +- 0.0101   0.2150 +- 0.0103
  13   501     1002       25    0.5000 +- 0.0274   0.5227 +- 0.0294
  14   792      907       14    0.8732 +- 0.0425   0.8973 +- 0.0447
  15   726      935       19    0.7765 +- 0.0384   0.8049 +- 0.0410
  16   771     1761       37    0.4378 +- 0.0189   0.4544 +- 0.0201
  17   707     1824       27    0.3876 +- 0.0172   0.3978 +- 0.0179
  18   736     1448       23    0.5083 +- 0.0230   0.5227 +- 0.0241
  19   796     1642       24    0.4848 +- 0.0209   0.4974 +- 0.0218
  20   805     2371       29    0.3395 +- 0.0138   0.3469 +- 0.0143
  21   383     2324       20    0.1648 +- 0.0091   0.1673 +- 0.0093
  22   554     2477       24    0.2237 +- 0.0105   0.2275 +- 0.0108
  23   580     1124       16    0.5160 +- 0.0264   0.5291 +- 0.0275
  24   648     1701       21    0.3810 +- 0.0176   0.3893 +- 0.0182
  25   803     2929       28    0.2742 +- 0.0109   0.2788 +- 0.0112
  26   625     1907       22    0.3277 +- 0.0151   0.3344 +- 0.0156
  27   726     2252       38    0.3224 +- 0.0138   0.3321 +- 0.0144
  28   805     2561       36    0.3143 +- 0.0127   0.3222 +- 0.0132
  29   608     2287       29    0.2659 +- 0.0121   0.2718 +- 0.0125
  30   828     2822       29    0.2934 +- 0.0116   0.2987 +- 0.0119
  31   496     1551       23    0.3198 +- 0.0165   0.3283 +- 0.0171
  32   507     2504       24    0.2025 +- 0.0099   0.2059 +- 0.0101
  33   535     2611       37    0.2049 +- 0.0097   0.2101 +- 0.0101
  34   549     1697       29    0.3235 +- 0.0159   0.3334 +- 0.0166
  35   683     2246       24    0.3041 +- 0.0133   0.3098 +- 0.0137
  36   604     2331       25    0.2591 +- 0.0118   0.2640 +- 0.0121
  37   625     2340       27    0.2671 +- 0.0120   0.2726 +- 0.0124
  38   726     2442       24    0.2973 +- 0.0126   0.3025 +- 0.0129
  39    87      352       10    0.2472 +- 0.0296   0.2600 +- 0.0317
