 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 8.82414e+08   Inhib.Clock = 3.58434e+08   Live = 0.406196
Backgr.clock = 1.18031e+09    Backgr.Inhib.clock = 3.36296e+08  Live = 0.284922
Background scale factor =  1.06583

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   194      621       31    0.3124 +- 0.0257   0.3300 +- 0.0277
   2   192      391       22    0.4910 +- 0.0433   0.5224 +- 0.0476
   3   179     1096       32    0.1633 +- 0.0132   0.1686 +- 0.0137
   4   104     1187       35    0.0876 +- 0.0090   0.0905 +- 0.0093
   5   188     1026       21    0.1832 +- 0.0145   0.1873 +- 0.0149
   6   344     1120       23    0.3071 +- 0.0189   0.3140 +- 0.0195
   7   340     1548       37    0.2196 +- 0.0132   0.2254 +- 0.0136
   8   369     1591       43    0.2319 +- 0.0134   0.2388 +- 0.0139
   9   352     1542       35    0.2283 +- 0.0135   0.2339 +- 0.0139
  10   302     1588       42    0.1902 +- 0.0119   0.1957 +- 0.0124
  11   330     1102       23    0.2995 +- 0.0188   0.3063 +- 0.0194
  12   338     1616       41    0.2092 +- 0.0125   0.2150 +- 0.0130
  13   369      671       23    0.5499 +- 0.0356   0.5708 +- 0.0378
  14   480      608       26    0.7895 +- 0.0482   0.8272 +- 0.0522
  15   482      652       22    0.7393 +- 0.0444   0.7668 +- 0.0472
  16   482     1188       31    0.4057 +- 0.0219   0.4173 +- 0.0228
  17   426     1214       24    0.3509 +- 0.0198   0.3585 +- 0.0204
  18   490     1021       23    0.4799 +- 0.0264   0.4917 +- 0.0274
  19   471     1209       30    0.3896 +- 0.0212   0.4002 +- 0.0220
  20   509     1595       44    0.3191 +- 0.0162   0.3288 +- 0.0169
  21   223     1465       37    0.1522 +- 0.0109   0.1564 +- 0.0113
  22   362     1572       39    0.2303 +- 0.0134   0.2365 +- 0.0139
  23   363      686       19    0.5292 +- 0.0343   0.5453 +- 0.0360
  24   398     1165       24    0.3416 +- 0.0198   0.3493 +- 0.0205
  25   463     1867       45    0.2480 +- 0.0129   0.2545 +- 0.0133
  26   385     1251       53    0.3078 +- 0.0179   0.3223 +- 0.0191
  27   416     1418    40593    0.2934 +- 0.0164  -0.0099 +- -0.0005
  28   499     1732      778    0.2881 +- 0.0146   0.5527 +- 0.0399
  29   373     1422       28    0.2623 +- 0.0153   0.2679 +- 0.0157
  30   465     1819       51    0.2556 +- 0.0133   0.2635 +- 0.0138
  31   284      935       33    0.3037 +- 0.0206   0.3156 +- 0.0217
  32   344     1705       42    0.2018 +- 0.0119   0.2072 +- 0.0123
  33   365     1796       46    0.2032 +- 0.0117   0.2089 +- 0.0121
  34   326     1081       41    0.3016 +- 0.0191   0.3143 +- 0.0202
  35   436     1521       29    0.2867 +- 0.0156   0.2926 +- 0.0160
  36   410     1553       40    0.2640 +- 0.0147   0.2715 +- 0.0152
