 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 1.14915e+09   Inhib.Clock = 5.36527e+08   Live = 0.466892
Backgr.clock = 9.00221e+08    Backgr.Inhib.clock = 2.78878e+08  Live = 0.309789
Background scale factor =  1.92388

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   249      721       15    0.3454 +- 0.0254   0.3598 +- 0.0270
   2   223      429        9    0.5198 +- 0.0429   0.5417 +- 0.0460
   3   214     1263       15    0.1694 +- 0.0125   0.1734 +- 0.0129
   4   117     1396       22    0.0838 +- 0.0081   0.0864 +- 0.0084
   5   204     1151       22    0.1772 +- 0.0135   0.1840 +- 0.0141
   6   371     1360       15    0.2728 +- 0.0160   0.2787 +- 0.0165
   7   436     1791       23    0.2434 +- 0.0130   0.2496 +- 0.0135
   8   407     1867       22    0.2180 +- 0.0119   0.2231 +- 0.0123
   9   398     1794       11    0.2219 +- 0.0123   0.2245 +- 0.0125
  10   358     1807       18    0.1981 +- 0.0115   0.2020 +- 0.0118
  11   377     1364       14    0.2764 +- 0.0161   0.2820 +- 0.0165
  12   405     1881       20    0.2153 +- 0.0118   0.2198 +- 0.0121
  13   412      775       12    0.5316 +- 0.0324   0.5479 +- 0.0341
  14   532      698       16    0.7622 +- 0.0439   0.7973 +- 0.0477
  15   581      672        8    0.8646 +- 0.0490   0.8848 +- 0.0512
  16   565     1307       16    0.4323 +- 0.0218   0.4427 +- 0.0226
  17   536     1371       23    0.3910 +- 0.0199   0.4040 +- 0.0210
  18   556     1204       20    0.4618 +- 0.0237   0.4770 +- 0.0250
  19   583     1319       23    0.4420 +- 0.0220   0.4573 +- 0.0232
  20   547     1866       25    0.2931 +- 0.0143   0.3009 +- 0.0148
  21   277     1682       12    0.1647 +- 0.0107   0.1670 +- 0.0109
  22   451     1870        9    0.2412 +- 0.0127   0.2434 +- 0.0128
  23   423      843       13    0.5018 +- 0.0299   0.5171 +- 0.0314
  24   498     1360       18    0.3662 +- 0.0192   0.3757 +- 0.0200
  25   571     2118       24    0.2696 +- 0.0127   0.2756 +- 0.0131
  26   441     1445       14    0.3052 +- 0.0166   0.3110 +- 0.0171
  27   534     1718       19    0.3108 +- 0.0154   0.3176 +- 0.0159
  28   551     1912       19    0.2882 +- 0.0139   0.2938 +- 0.0143
  29   419     1617       12    0.2591 +- 0.0142   0.2629 +- 0.0145
  30   592     2078       18    0.2849 +- 0.0133   0.2897 +- 0.0136
  31   340     1113       15    0.3055 +- 0.0189   0.3136 +- 0.0197
  32   402     1898       22    0.2118 +- 0.0116   0.2166 +- 0.0120
  33   417     1930       18    0.2161 +- 0.0117   0.2200 +- 0.0120
  34   364     1279       15    0.2846 +- 0.0169   0.2912 +- 0.0175
  35   463     1745       22    0.2653 +- 0.0139   0.2719 +- 0.0144
  36   441     1722       16    0.2561 +- 0.0137   0.2608 +- 0.0140
  37   422     1713       15    0.2464 +- 0.0134   0.2506 +- 0.0137
  38   465     1769       22    0.2629 +- 0.0137   0.2693 +- 0.0142
  39    72      290        8    0.2483 +- 0.0327   0.2622 +- 0.0353
  40    54      233       10    0.2318 +- 0.0350   0.2526 +- 0.0395
  41   522     1735       19    0.3009 +- 0.0150   0.3073 +- 0.0155
  42   442     1652       21    0.2676 +- 0.0143   0.2743 +- 0.0148
  43   522     1859       26    0.2808 +- 0.0139   0.2886 +- 0.0145
  44   501     1779       23    0.2816 +- 0.0142   0.2888 +- 0.0148
  45   493     1727       23    0.2855 +- 0.0146   0.2930 +- 0.0151
  46   526     1784       22    0.2948 +- 0.0146   0.3020 +- 0.0151
  47   548     1859       28    0.2948 +- 0.0143   0.3036 +- 0.0150
  48   486     1699       20    0.2861 +- 0.0147   0.2927 +- 0.0152
  49   534     1965       24    0.2718 +- 0.0133   0.2783 +- 0.0137
  50   470     1776       24    0.2646 +- 0.0137   0.2717 +- 0.0143
  51   576     1844       28    0.3124 +- 0.0149   0.3218 +- 0.0156
  52   233      812        7    0.2869 +- 0.0213   0.2918 +- 0.0218
  53   248      957       11    0.2591 +- 0.0185   0.2650 +- 0.0191
  54   618     1950       21    0.3169 +- 0.0146   0.3236 +- 0.0151
  55   592     1919       16    0.3085 +- 0.0145   0.3135 +- 0.0149
  56   710     2026       17    0.3504 +- 0.0153   0.3562 +- 0.0157
  57   669     2024       17    0.3305 +- 0.0147   0.3360 +- 0.0151
  58   632     1881       19    0.3360 +- 0.0154   0.3427 +- 0.0159
  59   691     1975       12    0.3499 +- 0.0155   0.3540 +- 0.0157
  60   354     1084       15    0.3266 +- 0.0200   0.3355 +- 0.0208
  61   346     1110       18    0.3117 +- 0.0192   0.3217 +- 0.0201
  62   726     1968       18    0.3689 +- 0.0160   0.3755 +- 0.0165
  63   653     2032       14    0.3214 +- 0.0145   0.3257 +- 0.0147
  64   694     2236       23    0.3104 +- 0.0135   0.3166 +- 0.0139
  65   772     2210       29    0.3493 +- 0.0146   0.3584 +- 0.0152
  66   757     2186       21    0.3463 +- 0.0146   0.3528 +- 0.0150
  67   732     2228       22    0.3285 +- 0.0140   0.3349 +- 0.0144
  68   682     2263       21    0.3014 +- 0.0132   0.3068 +- 0.0135
  69   764     2183       21    0.3500 +- 0.0147   0.3566 +- 0.0151
  70   442     1357        8    0.3257 +- 0.0178   0.3295 +- 0.0181
  71   501     1543       14    0.3247 +- 0.0167   0.3305 +- 0.0171
  72   730     2180       19    0.3349 +- 0.0143   0.3406 +- 0.0147
  73   732     2406       33    0.3042 +- 0.0128   0.3125 +- 0.0134
  74   656     2190       26    0.2995 +- 0.0133   0.3065 +- 0.0138
  75   617     1971       24    0.3130 +- 0.0144   0.3205 +- 0.0150
  76   669     2056       21    0.3254 +- 0.0145   0.3319 +- 0.0149
  77   756     2275       20    0.3323 +- 0.0140   0.3380 +- 0.0143
  78   774     2328       24    0.3325 +- 0.0138   0.3392 +- 0.0142
  79   709     2219       21    0.3195 +- 0.0138   0.3254 +- 0.0142
  80   791     2407       26    0.3286 +- 0.0135   0.3356 +- 0.0139
  81   778     2329       24    0.3340 +- 0.0138   0.3408 +- 0.0143
  82   676     2231       24    0.3030 +- 0.0133   0.3094 +- 0.0137
  83   705     2316       22    0.3044 +- 0.0131   0.3101 +- 0.0135
  84   774     2472       24    0.3131 +- 0.0129   0.3191 +- 0.0133
  85   657     2171       22    0.3026 +- 0.0135   0.3086 +- 0.0139
  86   693     2141       12    0.3237 +- 0.0141   0.3272 +- 0.0144
  87   753     2354       24    0.3199 +- 0.0134   0.3263 +- 0.0138
  88   719     2277       18    0.3158 +- 0.0135   0.3206 +- 0.0138
  89   683     2265       15    0.3015 +- 0.0132   0.3054 +- 0.0134
  90   709     2294       18    0.3091 +- 0.0133   0.3138 +- 0.0136
  91   706     2415       24    0.2923 +- 0.0125   0.2980 +- 0.0129
  92   740     2450       16    0.3020 +- 0.0127   0.3059 +- 0.0129
  93   748     2516       26    0.2973 +- 0.0124   0.3033 +- 0.0127
  94   724     2483       21    0.2916 +- 0.0123   0.2964 +- 0.0126
  95   737     2561       23    0.2878 +- 0.0120   0.2928 +- 0.0123
  96   719     2455       23    0.2929 +- 0.0124   0.2982 +- 0.0128
  97   556     1803       16    0.3084 +- 0.0150   0.3137 +- 0.0153
  98   750     2525       31    0.2970 +- 0.0124   0.3042 +- 0.0128
  99   777     2641       36    0.2942 +- 0.0120   0.3021 +- 0.0125
 100   714     2545       34    0.2806 +- 0.0119   0.2880 +- 0.0123
 101   663     2366       22    0.2802 +- 0.0123   0.2853 +- 0.0126
