 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 9.09533e+08   Inhib.Clock = 3.83324e+08   Live = 0.421452
Backgr.clock = 9.30932e+08    Backgr.Inhib.clock = 2.73464e+08  Live = 0.293753
Background scale factor =  1.40173

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   209      630       30    0.3317 +- 0.0265   0.3555 +- 0.0293
   2   202      378       19    0.5344 +- 0.0466   0.5749 +- 0.0524
   3   230     1140       42    0.2018 +- 0.0146   0.2127 +- 0.0156
   4   106     1175       38    0.0902 +- 0.0091   0.0945 +- 0.0096
   5   158      986       50    0.1602 +- 0.0137   0.1725 +- 0.0151
   6   369     1214       41    0.3040 +- 0.0181   0.3191 +- 0.0193
   7   357     1511       35    0.2363 +- 0.0139   0.2442 +- 0.0145
   8   354     1559       44    0.2271 +- 0.0134   0.2364 +- 0.0141
   9   394     1483       49    0.2657 +- 0.0151   0.2786 +- 0.0161
  10   318     1576       37    0.2018 +- 0.0124   0.2086 +- 0.0130
  11   321     1141       35    0.2813 +- 0.0178   0.2940 +- 0.0189
  12   383     1597       46    0.2398 +- 0.0136   0.2499 +- 0.0144
  13   388      670       27    0.5791 +- 0.0369   0.6138 +- 0.0407
  14   457      673       23    0.6790 +- 0.0412   0.7132 +- 0.0448
  15   463      555       34    0.8342 +- 0.0525   0.9126 +- 0.0617
  16   485     1143       35    0.4243 +- 0.0230   0.4434 +- 0.0246
  17   462     1180       41    0.3915 +- 0.0215   0.4116 +- 0.0232
  18   442     1057       42    0.4182 +- 0.0237   0.4428 +- 0.0258
  19   444     1190       49    0.3731 +- 0.0207   0.3960 +- 0.0227
  20   481     1532       53    0.3140 +- 0.0164   0.3300 +- 0.0176
  21   235     1470       49    0.1599 +- 0.0112   0.1677 +- 0.0119
  22   331     1509       43    0.2194 +- 0.0133   0.2285 +- 0.0140
  23   325      713       23    0.4558 +- 0.0305   0.4774 +- 0.0328
  24   385     1163       41    0.3310 +- 0.0195   0.3482 +- 0.0209
  25   459     1917       63    0.2394 +- 0.0124   0.2510 +- 0.0133
  26   332     1161       38    0.2860 +- 0.0178   0.2997 +- 0.0190
  27   449     1462       54    0.3071 +- 0.0166   0.3239 +- 0.0179
  28   439     1576       50    0.2786 +- 0.0150   0.2915 +- 0.0160
  29   373     1447       32    0.2578 +- 0.0150   0.2660 +- 0.0156
  30   452     1658       49    0.2726 +- 0.0145   0.2844 +- 0.0153
  31   293      976       39    0.3002 +- 0.0200   0.3180 +- 0.0217
  32   314     1568       51    0.2003 +- 0.0124   0.2098 +- 0.0132
  33   346     1681       52    0.2058 +- 0.0122   0.2152 +- 0.0129
  34   317     1107       41    0.2864 +- 0.0182   0.3020 +- 0.0197
  35   437     1493       54    0.2927 +- 0.0159   0.3083 +- 0.0171
  36   411     1531       44    0.2685 +- 0.0149   0.2797 +- 0.0158
  37   399     1501       47    0.2658 +- 0.0150   0.2780 +- 0.0159
  38   458     1516       63    0.3021 +- 0.0161   0.3208 +- 0.0175
  39    50      233       17    0.2146 +- 0.0334   0.2390 +- 0.0386
  40    50      240       15    0.2083 +- 0.0324   0.2283 +- 0.0365
  41   457     1501       52    0.3045 +- 0.0163   0.3200 +- 0.0175
  42   404     1493       39    0.2706 +- 0.0152   0.2809 +- 0.0160
  43   447     1521       53    0.2939 +- 0.0158   0.3090 +- 0.0170
  44   426     1486       45    0.2867 +- 0.0158   0.2994 +- 0.0167
  45   409     1515       57    0.2700 +- 0.0150   0.2850 +- 0.0162
  46   425     1523       59    0.2791 +- 0.0153   0.2951 +- 0.0165
  47   462     1531       45    0.3018 +- 0.0160   0.3147 +- 0.0170
  48   396     1407       54    0.2814 +- 0.0160   0.2975 +- 0.0173
  49   491     1721       48    0.2853 +- 0.0146   0.2969 +- 0.0154
  50   401     1505       49    0.2664 +- 0.0150   0.2792 +- 0.0160
  51   465     1549       45    0.3002 +- 0.0159   0.3129 +- 0.0168
  52   152      647       21    0.2349 +- 0.0212   0.2461 +- 0.0225
  53   215      809       36    0.2658 +- 0.0204   0.2834 +- 0.0223
  54   485     1587       50    0.3056 +- 0.0159   0.3197 +- 0.0169
  55   446     1483       37    0.3007 +- 0.0162   0.3116 +- 0.0171
  56   438     1563       48    0.2802 +- 0.0152   0.2928 +- 0.0161
  57   415     1604       35    0.2587 +- 0.0142   0.2669 +- 0.0149
  58   396     1491       53    0.2656 +- 0.0150   0.2795 +- 0.0161
  59   446     1444       47    0.3089 +- 0.0167   0.3236 +- 0.0179
  60   268      869       34    0.3084 +- 0.0215   0.3263 +- 0.0233
  61   219      834       21    0.2626 +- 0.0199   0.2722 +- 0.0209
  62   451     1504       37    0.2999 +- 0.0161   0.3106 +- 0.0169
  63   434     1595       45    0.2721 +- 0.0147   0.2833 +- 0.0156
  64   435     1739       62    0.2501 +- 0.0134   0.2633 +- 0.0144
  65   533     1747       68    0.3051 +- 0.0151   0.3227 +- 0.0163
  66   508     1641       52    0.3096 +- 0.0157   0.3240 +- 0.0168
  67   477     1681       47    0.2838 +- 0.0147   0.2953 +- 0.0156
  68   496     1720       62    0.2884 +- 0.0147   0.3037 +- 0.0158
  69   485     1634       42    0.2968 +- 0.0153   0.3079 +- 0.0162
  70   313     1060       38    0.2953 +- 0.0190   0.3109 +- 0.0204
  71   370     1234       44    0.2998 +- 0.0178   0.3156 +- 0.0191
  72   581     1779       55    0.3266 +- 0.0156   0.3414 +- 0.0166
  73   565     1850       57    0.3054 +- 0.0147   0.3192 +- 0.0156
  74   447     1713       53    0.2609 +- 0.0139   0.2728 +- 0.0147
  75   468     1596       53    0.2932 +- 0.0154   0.3075 +- 0.0165
