 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 5.4924e+08   Inhib.Clock = 1.87177e+08   Live = 0.340792
Backgr.clock = 1.51349e+09    Backgr.Inhib.clock = 5.07553e+08  Live = 0.335354
Background scale factor = 0.368782

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
  84     0       13     2050    0.0000 +- 0.0000   0.0000 +- 0.0000
  85     0        8     1844    0.0000 +- 0.0000   0.0000 +- 0.0000
  86     0        5     1844    0.0000 +- 0.0000   0.0000 +- 0.0000
  87     0       11     2063    0.0000 +- 0.0000   0.0000 +- 0.0000
  88     0       10     2148    0.0000 +- 0.0000   0.0000 +- 0.0000
  89     0       11     1901    0.0000 +- 0.0000   0.0000 +- 0.0000
  90     0       13     2070    0.0000 +- 0.0000   0.0000 +- 0.0000
  91     0       10     2132    0.0000 +- 0.0000   0.0000 +- 0.0000
  92     0        8     2069    0.0000 +- 0.0000   0.0000 +- 0.0000
  93     0       15     2205    0.0000 +- 0.0000   0.0000 +- 0.0000
  94     0        7     2183    0.0000 +- 0.0000   0.0000 +- 0.0000
  95     0        9     2224    0.0000 +- 0.0000   0.0000 +- 0.0000
  96     0       12     2101    0.0000 +- 0.0000   0.0000 +- 0.0000
  97     0       13     1467    0.0000 +- 0.0000   0.0000 +- 0.0000
  98     0       14     2304    0.0000 +- 0.0000   0.0000 +- 0.0000
  99     0       15     2189    0.0000 +- 0.0000   0.0000 +- 0.0000
 100     0       12     2288    0.0000 +- 0.0000   0.0000 +- 0.0000
 101     0       12     2098    0.0000 +- 0.0000   0.0000 +- 0.0000
 102     0       13     2266    0.0000 +- 0.0000   0.0000 +- 0.0000
 103     0       16     2428    0.0000 +- 0.0000   0.0000 +- 0.0000
 104     0       14     2066    0.0000 +- 0.0000   0.0000 +- 0.0000
 105     0       11     2251    0.0000 +- 0.0000   0.0000 +- 0.0000
 106     0       11     1880    0.0000 +- 0.0000   0.0000 +- 0.0000
 107     0       14     2426    0.0000 +- 0.0000   0.0000 +- 0.0000
 108     0       11     2322    0.0000 +- 0.0000   0.0000 +- 0.0000
 109     0        9     2462    0.0000 +- 0.0000   0.0000 +- 0.0000
 110     0       12     2419    0.0000 +- 0.0000   0.0000 +- 0.0000
 111     0        9     2474    0.0000 +- 0.0000   0.0000 +- 0.0000
 112     0       12     2470    0.0000 +- 0.0000   0.0000 +- 0.0000
 113     0       15     2549    0.0000 +- 0.0000   0.0000 +- 0.0000
 114     0       16     2350    0.0000 +- 0.0000   0.0000 +- 0.0000
 115     0       16     2455    0.0000 +- 0.0000   0.0000 +- 0.0000
 116     0       13     2374    0.0000 +- 0.0000   0.0000 +- 0.0000
 117     0        9     2323    0.0000 +- 0.0000   0.0000 +- 0.0000
 118     0        4     2112    0.0000 +- 0.0000   0.0000 +- 0.0000
 119     0        8     2136    0.0000 +- 0.0000   0.0000 +- 0.0000
 120     0        7     2155    0.0000 +- 0.0000   0.0000 +- 0.0000
 121     0       13     2710    0.0000 +- 0.0000   0.0000 +- 0.0000
 122     0       13     2655    0.0000 +- 0.0000   0.0000 +- 0.0000
 123     0       13     2590    0.0000 +- 0.0000   0.0000 +- 0.0000
 124     0       14     2527    0.0000 +- 0.0000   0.0000 +- 0.0000
 125     0        8     2475    0.0000 +- 0.0000   0.0000 +- 0.0000
 126     0       11     2663    0.0000 +- 0.0000   0.0000 +- 0.0000
 127     0        9     2369    0.0000 +- 0.0000   0.0000 +- 0.0000
 128     0       17     2537    0.0000 +- 0.0000   0.0000 +- 0.0000
 129     0       17     2681    0.0000 +- 0.0000   0.0000 +- 0.0000
 130     0       15     2632    0.0000 +- 0.0000   0.0000 +- 0.0000
 131     0       16     2713    0.0000 +- 0.0000   0.0000 +- 0.0000
 132     0       15     2755    0.0000 +- 0.0000   0.0000 +- 0.0000
 133     0       14     2682    0.0000 +- 0.0000   0.0000 +- 0.0000
 134     0       14     2700    0.0000 +- 0.0000   0.0000 +- 0.0000
 135     0       10     2853    0.0000 +- 0.0000   0.0000 +- 0.0000
 136     0       11     2961    0.0000 +- 0.0000   0.0000 +- 0.0000
 137     0       13     2856    0.0000 +- 0.0000   0.0000 +- 0.0000
 138     0       19     2950    0.0000 +- 0.0000   0.0000 +- 0.0000
 139     0       11     2795    0.0000 +- 0.0000   0.0000 +- 0.0000
 140     0        7     2209    0.0000 +- 0.0000   0.0000 +- 0.0000
 141     0        9     2056    0.0000 +- 0.0000   0.0000 +- 0.0000
 142     0       13     2893    0.0000 +- 0.0000   0.0000 +- 0.0000
 143     0       13     3133    0.0000 +- 0.0000   0.0000 +- 0.0000
 144     0       10     2920    0.0000 +- 0.0000   0.0000 +- 0.0000
 145     0       10     2951    0.0000 +- 0.0000   0.0000 +- 0.0000
 146     0        8     2821    0.0000 +- 0.0000   0.0000 +- 0.0000
 147     0       18     2900    0.0000 +- 0.0000   0.0000 +- 0.0000
 148     0       14     3041    0.0000 +- 0.0000   0.0000 +- 0.0000
 149     0       12     3109    0.0000 +- 0.0000   0.0000 +- 0.0000
 150     0       15     3074    0.0000 +- 0.0000   0.0000 +- 0.0000
 151     0       11     3010    0.0000 +- 0.0000   0.0000 +- 0.0000
 152     0        9     3130    0.0000 +- 0.0000   0.0000 +- 0.0000
 153     0       12     4309    0.0000 +- 0.0000   0.0000 +- 0.0000
 154     0        4     2951    0.0000 +- 0.0000   0.0000 +- 0.0000
 155     0       14     3156    0.0000 +- 0.0000   0.0000 +- 0.0000
 156     0        9     3344    0.0000 +- 0.0000   0.0000 +- 0.0000
 157     0        8     3232    0.0000 +- 0.0000   0.0000 +- 0.0000
 158     0       13     3202    0.0000 +- 0.0000   0.0000 +- 0.0000
 159     0        6     3113    0.0000 +- 0.0000   0.0000 +- 0.0000
 160     0        9     3505    0.0000 +- 0.0000   0.0000 +- 0.0000
 161     0       10     3496    0.0000 +- 0.0000   0.0000 +- 0.0000
 162     0        8     4339    0.0000 +- 0.0000   0.0000 +- 0.0000
 163     0        9     2646    0.0000 +- 0.0000   0.0000 +- 0.0000
 164     0       11     3431    0.0000 +- 0.0000   0.0000 +- 0.0000
 165     0       19     3637    0.0000 +- 0.0000   0.0000 +- 0.0000
 166     0       14     2783    0.0000 +- 0.0000   0.0000 +- 0.0000
 167     0        8     2658    0.0000 +- 0.0000   0.0000 +- 0.0000
 168     0        9     3640    0.0000 +- 0.0000   0.0000 +- 0.0000
 169     0       12     3426    0.0000 +- 0.0000   0.0000 +- 0.0000
 170     0        5     3453    0.0000 +- 0.0000   0.0000 +- 0.0000
 171     0        4     3393    0.0000 +- 0.0000   0.0000 +- 0.0000
 172     0       13     3434    0.0000 +- 0.0000   0.0000 +- 0.0000
 173     0        5     3019    0.0000 +- 0.0000   0.0000 +- 0.0000
 174     0        6     2991    0.0000 +- 0.0000   0.0000 +- 0.0000
 175     0        4     3549    0.0000 +- 0.0000   0.0000 +- 0.0000
 176     0       14     3726    0.0000 +- 0.0000   0.0000 +- 0.0000
 177     0        9     3635    0.0000 +- 0.0000   0.0000 +- 0.0000
 178     0       19     3573    0.0000 +- 0.0000   0.0000 +- 0.0000
 179     0       15     3672    0.0000 +- 0.0000   0.0000 +- 0.0000
 180     0       18     3772    0.0000 +- 0.0000   0.0000 +- 0.0000
 181     0        9     3454    0.0000 +- 0.0000   0.0000 +- 0.0000
 182     0       13     4359    0.0000 +- 0.0000   0.0000 +- 0.0000
 183     0        8     3861    0.0000 +- 0.0000   0.0000 +- 0.0000
 184     0       17     4090    0.0000 +- 0.0000   0.0000 +- 0.0000
 185     0       18     4029    0.0000 +- 0.0000   0.0000 +- 0.0000
 186     0       13     4219    0.0000 +- 0.0000   0.0000 +- 0.0000
 187     0       11     4058    0.0000 +- 0.0000   0.0000 +- 0.0000
 188     0       17     4204    0.0000 +- 0.0000   0.0000 +- 0.0000
 189     0       15     4015    0.0000 +- 0.0000   0.0000 +- 0.0000
 190     0       12     4138    0.0000 +- 0.0000   0.0000 +- 0.0000
 191     0       17     4099    0.0000 +- 0.0000   0.0000 +- 0.0000
 192     0       12     4119    0.0000 +- 0.0000   0.0000 +- 0.0000
 193     0        5     4112    0.0000 +- 0.0000   0.0000 +- 0.0000
 194     0        6     4222    0.0000 +- 0.0000   0.0000 +- 0.0000
 195     0        5     4311    0.0000 +- 0.0000   0.0000 +- 0.0000
 196     0        6     4303    0.0000 +- 0.0000   0.0000 +- 0.0000
 197     0       10     3939    0.0000 +- 0.0000   0.0000 +- 0.0000
 198     0        8     4092    0.0000 +- 0.0000   0.0000 +- 0.0000
 199     0        5     2740    0.0000 +- 0.0000   0.0000 +- 0.0000
 200     0        7     4040    0.0000 +- 0.0000   0.0000 +- 0.0000
 201     0        7     3939    0.0000 +- 0.0000   0.0000 +- 0.0000
 202     0       13     4348    0.0000 +- 0.0000   0.0000 +- 0.0000
 203     1     1518     7031    0.0007 +- 0.0007  -0.0009 +- -0.0009
 204     0      306     4537    0.0000 +- 0.0000   0.0000 +- 0.0000
 205     0       23     4789    0.0000 +- 0.0000   0.0000 +- 0.0000
 206     0       17     4807    0.0000 +- 0.0000   0.0000 +- 0.0000
 207     0       18     4994    0.0000 +- 0.0000   0.0000 +- 0.0000
 208     0       17     4978    0.0000 +- 0.0000   0.0000 +- 0.0000
 209     0       16     4528    0.0000 +- 0.0000   0.0000 +- 0.0000
 210     0       13     5207    0.0000 +- 0.0000   0.0000 +- 0.0000
 211     0       11     4808    0.0000 +- 0.0000   0.0000 +- 0.0000
 212     0       17     5066    0.0000 +- 0.0000   0.0000 +- 0.0000
 213     0       14     5189    0.0000 +- 0.0000   0.0000 +- 0.0000
 214     0        8     4793    0.0000 +- 0.0000   0.0000 +- 0.0000
 215     0        6     5105    0.0000 +- 0.0000   0.0000 +- 0.0000
 216     0        9     4757    0.0000 +- 0.0000   0.0000 +- 0.0000
 217     0        3     4486    0.0000 +- 0.0000   0.0000 +- 0.0000
 218     0        8     5250    0.0000 +- 0.0000   0.0000 +- 0.0000
 219     0        3     5512    0.0000 +- 0.0000   0.0000 +- 0.0000
 220     0        6     4842    0.0000 +- 0.0000   0.0000 +- 0.0000
 221     1       14     5189    0.0714 +- 0.0739  -0.0005 +- -0.0005
 222     0       12     5454    0.0000 +- 0.0000   0.0000 +- 0.0000
 223     0        8     5572    0.0000 +- 0.0000   0.0000 +- 0.0000
 224     0       10     5713    0.0000 +- 0.0000   0.0000 +- 0.0000
 225     0       14     6062    0.0000 +- 0.0000   0.0000 +- 0.0000
 226     0       11     5141    0.0000 +- 0.0000   0.0000 +- 0.0000
 227     0       11     5012    0.0000 +- 0.0000   0.0000 +- 0.0000
 228     0       13     5777    0.0000 +- 0.0000   0.0000 +- 0.0000
 229     0        9     5861    0.0000 +- 0.0000   0.0000 +- 0.0000
 230     0       10     5826    0.0000 +- 0.0000   0.0000 +- 0.0000
 231     0       13     6069    0.0000 +- 0.0000   0.0000 +- 0.0000
 232     0       17     6107    0.0000 +- 0.0000   0.0000 +- 0.0000
 233     0       17     5836    0.0000 +- 0.0000   0.0000 +- 0.0000
 234     0       10     5826    0.0000 +- 0.0000   0.0000 +- 0.0000
 235     0       10     6019    0.0000 +- 0.0000   0.0000 +- 0.0000
 236     0        8     6522    0.0000 +- 0.0000   0.0000 +- 0.0000
