 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.35189e+08   Inhib.Clock = 3.26688e+08   Live = 0.444359
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =   1.7022

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
  84   286     1931       18    0.1481 +- 0.0094   0.1505 +- 0.0096
  85   262     1688        8    0.1552 +- 0.0103   0.1565 +- 0.0104
  86   282     1677       13    0.1682 +- 0.0108   0.1704 +- 0.0110
  87   302     1826       18    0.1654 +- 0.0103   0.1682 +- 0.0105
  88   283     1892       10    0.1496 +- 0.0095   0.1509 +- 0.0096
  89   265     1758       13    0.1507 +- 0.0099   0.1527 +- 0.0101
  90   266     1835       14    0.1450 +- 0.0095   0.1469 +- 0.0097
  91   292     1872       15    0.1560 +- 0.0098   0.1581 +- 0.0100
  92   269     1924       11    0.1398 +- 0.0091   0.1412 +- 0.0092
  93   293     1939       16    0.1511 +- 0.0095   0.1533 +- 0.0096
  94   285     2030       16    0.1404 +- 0.0089   0.1423 +- 0.0090
  95   321     2008       14    0.1599 +- 0.0096   0.1618 +- 0.0098
  96   274     1885       22    0.1454 +- 0.0094   0.1483 +- 0.0096
  97   202     1324       16    0.1526 +- 0.0115   0.1558 +- 0.0118
  98   289     2080       19    0.1389 +- 0.0087   0.1411 +- 0.0089
  99   321     2160       18    0.1486 +- 0.0089   0.1507 +- 0.0090
 100   309     2069       16    0.1493 +- 0.0091   0.1513 +- 0.0093
 101   263     1856       18    0.1417 +- 0.0093   0.1441 +- 0.0095
 102   294     2117       21    0.1389 +- 0.0086   0.1413 +- 0.0088
 103   294     2113       12    0.1391 +- 0.0087   0.1405 +- 0.0088
 104   251     1791       11    0.1401 +- 0.0094   0.1416 +- 0.0096
 105   282     2000       14    0.1410 +- 0.0090   0.1427 +- 0.0091
 106   264     1741        8    0.1516 +- 0.0100   0.1528 +- 0.0101
 107   356     2143       11    0.1661 +- 0.0095   0.1676 +- 0.0096
 108   327     2169       13    0.1508 +- 0.0089   0.1523 +- 0.0091
 109   311     2234       16    0.1392 +- 0.0084   0.1409 +- 0.0086
 110   321     2217       14    0.1448 +- 0.0086   0.1464 +- 0.0088
 111   335     2276       15    0.1472 +- 0.0086   0.1489 +- 0.0087
 112   325     2236       14    0.1453 +- 0.0086   0.1469 +- 0.0087
 113   331     2277       15    0.1454 +- 0.0086   0.1470 +- 0.0087
 114   318     2133       13    0.1491 +- 0.0090   0.1506 +- 0.0091
 115   294     2192       17    0.1341 +- 0.0083   0.1359 +- 0.0085
 116   284     2214        6    0.1283 +- 0.0081   0.1289 +- 0.0081
 117   317     2131       13    0.1488 +- 0.0090   0.1503 +- 0.0091
 118   284     1950        9    0.1456 +- 0.0093   0.1468 +- 0.0093
 119   251     1738       11    0.1444 +- 0.0098   0.1460 +- 0.0099
 120   267     1833       12    0.1457 +- 0.0095   0.1473 +- 0.0097
 121   354     2467       22    0.1435 +- 0.0082   0.1457 +- 0.0083
 122   355     2392       22    0.1484 +- 0.0084   0.1508 +- 0.0086
 123   310     2285       15    0.1357 +- 0.0082   0.1372 +- 0.0083
 124   352     2365        8    0.1488 +- 0.0085   0.1497 +- 0.0086
 125   353     2284        6    0.1546 +- 0.0088   0.1552 +- 0.0089
 126   356     2434       17    0.1463 +- 0.0083   0.1480 +- 0.0084
 127   296     2171       15    0.1363 +- 0.0084   0.1380 +- 0.0086
 128   354     2324       18    0.1523 +- 0.0087   0.1544 +- 0.0088
 129   350     2422       10    0.1445 +- 0.0083   0.1455 +- 0.0083
 130   357     2420        8    0.1475 +- 0.0084   0.1484 +- 0.0084
 131   328     2458       13    0.1334 +- 0.0078   0.1347 +- 0.0079
 132   298     2472       11    0.1206 +- 0.0074   0.1215 +- 0.0075
 133   354     2503       11    0.1414 +- 0.0080   0.1425 +- 0.0081
 134   364     2635        7    0.1381 +- 0.0077   0.1388 +- 0.0078
 135   351     2572       17    0.1365 +- 0.0078   0.1380 +- 0.0079
 136   366     2618       12    0.1398 +- 0.0078   0.1409 +- 0.0079
 137   334     2515       12    0.1328 +- 0.0077   0.1339 +- 0.0078
 138   404     2648       17    0.1526 +- 0.0081   0.1543 +- 0.0083
 139   402     2536       21    0.1585 +- 0.0085   0.1608 +- 0.0087
 140   276     1906        9    0.1448 +- 0.0093   0.1460 +- 0.0094
 141   269     1800       10    0.1494 +- 0.0098   0.1509 +- 0.0099
 142   402     2644       16    0.1520 +- 0.0081   0.1536 +- 0.0082
 143   340     2821       17    0.1205 +- 0.0069   0.1218 +- 0.0070
 144   382     2719       15    0.1405 +- 0.0077   0.1418 +- 0.0078
 145   367     2620       18    0.1401 +- 0.0078   0.1417 +- 0.0079
 146   381     2691       13    0.1416 +- 0.0078   0.1428 +- 0.0078
 147   390     2669       12    0.1461 +- 0.0079   0.1472 +- 0.0080
 148   407     2852       15    0.1427 +- 0.0076   0.1440 +- 0.0076
 149   407     2858       12    0.1424 +- 0.0075   0.1434 +- 0.0076
 150   439     2899       13    0.1514 +- 0.0078   0.1526 +- 0.0078
 151   400     2784       16    0.1437 +- 0.0077   0.1451 +- 0.0078
 152   398     2779       17    0.1432 +- 0.0077   0.1447 +- 0.0078
 153   403     3934       22    0.1024 +- 0.0054   0.1034 +- 0.0054
 154   391     2772       19    0.1411 +- 0.0076   0.1427 +- 0.0077
 155   416     2883        6    0.1443 +- 0.0076   0.1448 +- 0.0076
