 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 8.71478e+08   Inhib.Clock = 3.59896e+08   Live = 0.412972
Backgr.clock = 9.30932e+08    Backgr.Inhib.clock = 2.73464e+08  Live = 0.293753
Background scale factor =  1.31606

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
   0     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
   1   226      833       30    0.2713 +- 0.0203   0.2848 +- 0.0217
   2   253      461       19    0.5488 +- 0.0429   0.5803 +- 0.0470
   3   203     1365       42    0.1487 +- 0.0112   0.1550 +- 0.0118
   4   132     1409       38    0.0937 +- 0.0085   0.0971 +- 0.0089
   5   187     1224       50    0.1528 +- 0.0120   0.1615 +- 0.0128
   6   412     1440       41    0.2861 +- 0.0160   0.2972 +- 0.0169
   7   396     1821       35    0.2175 +- 0.0121   0.2231 +- 0.0125
   8   385     1938       44    0.1987 +- 0.0111   0.2048 +- 0.0115
   9   445     1837       49    0.2422 +- 0.0128   0.2511 +- 0.0134
  10   327     1818       37    0.1799 +- 0.0108   0.1848 +- 0.0112
  11   398     1399       35    0.2845 +- 0.0162   0.2942 +- 0.0169
  12   395     1956       46    0.2019 +- 0.0111   0.2084 +- 0.0116
  13   380      827       27    0.4595 +- 0.0285   0.4801 +- 0.0305
  14   513      761       23    0.6741 +- 0.0385   0.7020 +- 0.0412
  15   551      733       34    0.7517 +- 0.0424   0.8006 +- 0.0473
  16   565     1350       35    0.4185 +- 0.0210   0.4333 +- 0.0221
  17   527     1489       41    0.3539 +- 0.0179   0.3672 +- 0.0189
  18   524     1351       42    0.3879 +- 0.0200   0.4044 +- 0.0212
  19   543     1408       49    0.3857 +- 0.0195   0.4042 +- 0.0209
  20   559     1909       53    0.2928 +- 0.0141   0.3039 +- 0.0148
  21   272     1773       49    0.1534 +- 0.0100   0.1592 +- 0.0105
  22   407     1900       43    0.2142 +- 0.0117   0.2208 +- 0.0122
  23   453      932       23    0.4861 +- 0.0278   0.5024 +- 0.0293
  24   474     1463       41    0.3240 +- 0.0171   0.3364 +- 0.0181
  25   577     2266       63    0.2546 +- 0.0119   0.2643 +- 0.0125
  26   405     1455       38    0.2784 +- 0.0156   0.2883 +- 0.0164
  27   460     1729       54    0.2660 +- 0.0140   0.2775 +- 0.0148
  28   588     2046       50    0.2874 +- 0.0134   0.2969 +- 0.0141
  29   394     1700       32    0.2318 +- 0.0130   0.2377 +- 0.0134
  30   556     2127       49    0.2614 +- 0.0125   0.2696 +- 0.0130
