!   4.7          1.2184        0.3463
  10.3          1.6071        0.1333
  20.7          1.7025        0.1675
  30.7          1.7846        0.1221
  40.5          1.8082        0.0830
  50.8          1.9536        0.1184
  60.8          2.0968        0.1338
  70.9          2.9464        0.1591
  80.5          3.4031        0.1563
  90.6          3.4083        0.1452
 100.4          3.6281        0.1710
 110.4          3.3072        0.1564
 120.2          2.6818        0.1307
 130.3          2.0570        0.1109
 139.9          1.3401        0.0972
 149.9          0.7501        0.0520
 159.7          0.3520        0.0658
 169.6          0.3048        0.0593
 177.6          0.2703        0.0845
!   4.4          1.2095        0.4658
  11.0          1.6231        0.1459
  20.6          1.3851        0.1380
  30.7          1.4898        0.1031
  40.6          1.5382        0.0723
  50.7          1.7527        0.1082
  60.8          2.5369        0.1656
  70.8          2.7717        0.1571
  80.8          3.0365        0.1428
  90.5          3.2227        0.1390
 100.5          3.1795        0.1505
 110.4          3.0474        0.1449
 120.2          2.3248        0.1148
 130.2          1.9799        0.1078
 140.0          1.3239        0.0972
 150.0          0.7546        0.0513
 159.4          0.5385        0.0932
 169.8          0.4115        0.0775
 177.1          0.2312        0.0798
