0	-4
1	-4
2	0
3	-4
4	-1
5	1
6	-4
7	-2
8	0
9	2
10	-4
11	-3
12	-1
13	1
14	3
15	-4
16	-3
17	-1
18	0
19	1
20	3
21	-4
22	-3
23	-2
24	-1
25	1
26	2
27	3
28	-4
29	-3
30	-2
31	-1
32	0
33	1
34	2
35	3
36	-4
37	-3
38	-2
39	-1
40	-0
41	0
42	1
43	2
44	3
45	-4
46	-3
47	-3
48	-2
49	-1
50	0
51	1
52	2
53	3
54	3
55	-3
56	-3
57	-2
58	-1
59	-0
60	0
61	1
62	2
63	3
64	4
65	4
66	8
67	4
68	7
69	9
70	4
71	6
72	8
73	10
74	4
75	5
76	7
77	9
78	11
79	4
80	5
81	7
82	8
83	9
84	11
85	4
86	5
87	6
88	7
89	9
90	10
91	11
92	4
93	5
94	6
95	7
96	8
97	9
98	10
99	11
100	4
101	5
102	6
103	7
104	8
105	8
106	9
107	10
108	11
109	4
110	5
111	5
112	6
113	7
114	8
115	9
116	10
117	11
118	11
119	5
120	5
121	6
122	7
123	8
124	8
125	9
126	10
127	11
128	12
129	12
130	16
131	12
132	15
133	17
134	12
135	14
136	16
137	18
138	12
139	13
140	15
141	17
142	19
143	12
144	13
145	15
146	16
147	17
148	19
149	12
150	13
151	14
152	15
153	17
154	18
155	19
156	12
157	13
158	14
159	15
160	16
161	17
162	18
163	19
164	12
165	13
166	14
167	15
168	16
169	16
170	17
171	18
172	19
173	12
174	13
175	13
176	14
177	15
178	16
179	17
180	18
181	19
182	19
183	13
184	14
185	15
186	16
187	16
188	17
189	18
190	19
191	19
192	20
193	20
194	-24
195	20
196	23
197	-23
198	20
199	22
200	-24
201	-22
202	20
203	21
204	23
205	-23
206	-21
207	20
208	21
209	23
210	-24
211	-23
212	-21
213	20
214	21
215	22
216	23
217	-23
218	-22
219	-21
220	20
221	21
222	22
223	23
224	-24
225	-23
226	-22
227	-21
228	20
229	21
230	22
231	23
232	24
233	-24
234	-23
235	-22
236	-21
237	20
238	21
239	21
240	22
241	23
242	-24
243	-23
244	-22
245	-21
246	-21
247	21
248	21
249	22
250	23
251	24
252	-24
253	-23
254	-22
255	-21
256	-20
257	-20
258	-16
259	-20
260	-17
261	-15
262	-20
263	-18
264	-16
265	-14
266	-20
267	-19
268	-17
269	-15
270	-13
271	-20
272	-19
273	-17
274	-16
275	-15
276	-13
277	-20
278	-19
279	-18
280	-17
281	-15
282	-14
283	-13
284	-20
285	-19
286	-18
287	-17
288	-16
289	-15
290	-14
291	-13
292	-20
293	-19
294	-18
295	-17
296	-16
297	-16
298	-15
299	-14
300	-13
301	-20
302	-19
303	-19
304	-18
305	-17
306	-16
307	-15
308	-14
309	-13
310	-13
311	-19
312	-19
313	-18
314	-17
315	-16
316	-16
317	-15
318	-14
319	-13
320	-12
321	-12
322	-8
323	-12
324	-9
325	-7
326	-12
327	-10
328	-8
329	-6
330	-12
331	-11
332	-9
333	-7
334	-5
335	-12
336	-11
337	-9
338	-8
339	-7
340	-5
341	-12
342	-11
343	-10
344	-9
345	-7
346	-6
347	-5
348	-12
349	-11
350	-10
351	-9
352	-8
353	-7
354	-6
355	-5
356	-12
357	-11
358	-10
359	-9
360	-8
361	-8
362	-7
363	-6
364	-5
365	-12
366	-11
367	-11
368	-10
369	-9
370	-8
371	-7
372	-6
373	-5
374	-5
375	-11
376	-10
377	-9
378	-8
379	-8
380	-7
381	-6
382	-5
383	-5
