 Heavy Baryon ChPT calculations (Bernard, Meissner, Kaiser)
   version PLB 378, 1996  (4th order in S- and 3rd order in P waves)
    (evaluation: L. Tiator, May 26, 2008)

    Elab           Theta      dsigma/dOmega     Sigma
    162.5000      180.0000        9.4111        0.0000
    167.5000        0.0000        8.8045        0.0000
    167.5000        5.0000        8.8761        0.0053
    167.5000       10.0000        9.0890        0.0207
    167.5000       15.0000        9.4371        0.0443
    167.5000       20.0000        9.9109        0.0736
    167.5000       25.0000       10.4974        0.1061
    167.5000       30.0000       11.1802        0.1395
    167.5000       35.0000       11.9408        0.1719
    167.5000       40.0000       12.7583        0.2020
    167.5000       45.0000       13.6105        0.2292
    167.5000       50.0000       14.4746        0.2529
    167.5000       55.0000       15.3273        0.2731
    167.5000       60.0000       16.1463        0.2898
    167.5000       65.0000       16.9104        0.3030
    167.5000       70.0000       17.6002        0.3130
    167.5000       75.0000       18.1988        0.3198
    167.5000       80.0000       18.6921        0.3237
    167.5000       85.0000       19.0694        0.3246
    167.5000       90.0000       19.3235        0.3228
    167.5000       95.0000       19.4510        0.3183
    167.5000      100.0000       19.4525        0.3110
    167.5000      105.0000       19.3322        0.3011
    167.5000      110.0000       19.0980        0.2884
    167.5000      115.0000       18.7611        0.2731
    167.5000      120.0000       18.3359        0.2552
    167.5000      125.0000       17.8390        0.2346
    167.5000      130.0000       17.2894        0.2117
    167.5000      135.0000       16.7070        0.1867
    167.5000      140.0000       16.1128        0.1600
    167.5000      145.0000       15.5279        0.1322
    167.5000      150.0000       14.9726        0.1042
    167.5000      155.0000       14.4661        0.0770
    167.5000      160.0000       14.0259        0.0520
    167.5000      165.0000       13.6670        0.0306
    167.5000      170.0000       13.4015        0.0140
    167.5000      175.0000       13.2385        0.0036
    167.5000      180.0000       13.1836        0.0000
