  0  0.000
 10  0.008
 20  0.029
 30  0.055
 40  0.079
 50  0.098
 60  0.109
 70  0.113
 80  0.110
 90  0.103
100  0.091
110  0.077
120  0.062
130  0.046
140  0.032
150  0.019
160  0.009
170  0.002
180  0.000
